# ptHfine-aafid        central        num_err    min (scale)        num_err    max (scale)        num_err
# R3
              0   1.018772e-05  1.3275916e-05  8.7887041e-06  1.2828233e-05   1.130069e-05  1.3568548e-05
              1  9.7921813e-05  1.5575211e-05  9.7111123e-05  1.5572016e-05  9.8493528e-05  1.5556155e-05
              2  0.00015583481  1.7448997e-05  0.00015540101  1.7450908e-05  0.00015588485  1.7477942e-05
              3   0.0002155658  2.0027846e-05  0.00021304432  1.9999536e-05  0.00021637792  2.0097231e-05
              4  0.00035981731  2.4930803e-05  0.00035831148  2.4850578e-05  0.00036151407  2.5025867e-05
              5  0.00039736855  2.6700395e-05  0.00039554492  2.6596145e-05  0.00039913006  2.6797054e-05
              6  0.00047563553  2.9191493e-05  0.00047202866  2.9260108e-05  0.00047774317  2.9286148e-05
              7  0.00065969651  3.4100461e-05  0.00065376711  3.4075163e-05  0.00066295934  3.4231156e-05
              8  0.00073878067  3.6311036e-05  0.00073000141  3.6447597e-05   0.0007437508  3.6701447e-05
              9  0.00073801842  3.6307514e-05  0.00073372711  3.6571495e-05  0.00074161886   3.643959e-05
             10  0.00088663907  3.9237963e-05  0.00088124834  3.9068989e-05  0.00089124496  3.9383105e-05
             11   0.0010841451   4.241357e-05   0.0010783691  4.2232558e-05    0.001089387  4.2578372e-05
             12   0.0011248295  4.3737743e-05   0.0011184194  4.3547924e-05   0.0011305943  4.3909722e-05
             13   0.0012237123  4.6154787e-05   0.0012150675  4.6078489e-05   0.0012399093  4.6788992e-05
             14   0.0013833291  4.9397307e-05   0.0013754421  4.9187232e-05   0.0013907593   4.961312e-05
             15   0.0014427557  5.0483562e-05   0.0014342947  5.0260783e-05   0.0014505957  5.0686832e-05
             16    0.001532588   5.299146e-05   0.0015235149  5.2755439e-05   0.0015401071  5.3189742e-05
             17   0.0016052153  5.3153505e-05   0.0015938328  5.3071728e-05   0.0016154824  5.3636737e-05
             18   0.0017754466  5.6411257e-05   0.0017666155  5.5916261e-05   0.0017950348  5.6880243e-05
             19   0.0017661125  5.5517372e-05   0.0017611027  5.5790036e-05   0.0017789334  5.6352122e-05
             20    0.001776619  5.6005815e-05   0.0017678866  5.5956587e-05   0.0017902897  5.6615848e-05
             21   0.0019698382  5.8644159e-05   0.0019604026  5.8503381e-05   0.0019868541  5.9031163e-05
             22   0.0020898592  6.0140034e-05   0.0020761116  5.9844713e-05   0.0021052147  6.0499651e-05
             23   0.0021733836  6.2354587e-05   0.0021594538  6.2050506e-05      0.0021924  6.2804603e-05
             24   0.0021208471  6.0564945e-05   0.0021076855  6.0289624e-05   0.0021366213  6.0911556e-05
             25   0.0023516289   6.459001e-05   0.0023370733  6.4296698e-05   0.0023723674  6.5061121e-05
             26    0.002390281  6.5125804e-05   0.0023748934  6.4824742e-05   0.0024086482  6.5616261e-05
             27   0.0025262323  6.6773348e-05   0.0025107429  6.6461191e-05   0.0025513666  6.7347722e-05
             28   0.0024853544  6.6534494e-05   0.0024695879  6.6229488e-05   0.0025091722  6.7110474e-05
             29   0.0026588755  6.8734117e-05   0.0026417566  6.8406867e-05   0.0026829842  6.9524486e-05
             30   0.0025826299  6.7322384e-05   0.0025662903  6.7017656e-05   0.0026073855  6.8010987e-05
             31   0.0028446711  7.1177872e-05    0.002826573  7.0860447e-05   0.0028619206  7.2038803e-05
             32   0.0028893797  7.1424948e-05   0.0028719277   7.110413e-05   0.0029202169    7.20402e-05
             33   0.0027493536  6.9250437e-05   0.0027327013  6.8929452e-05   0.0027801682  6.9873183e-05
             34   0.0029863767  7.3350818e-05   0.0029681754  7.3000176e-05   0.0030204569  7.4152984e-05
             35   0.0029647096  7.2371987e-05   0.0029451223  7.1987265e-05   0.0029947462  7.3060387e-05
             36    0.003009978   7.357343e-05   0.0029907896  7.3224667e-05   0.0030449403  7.4261022e-05
             37   0.0032833967   7.515631e-05   0.0032632446  7.4763019e-05   0.0033207446  7.5905707e-05
             38   0.0029926587  7.3014776e-05    0.002972676  7.2631177e-05   0.0030267636  7.3716717e-05
             39   0.0030668433  7.4017359e-05   0.0030470337  7.3664198e-05   0.0031009563  7.4725284e-05
             40   0.0030488919  7.4565268e-05   0.0030299085  7.4217629e-05   0.0030836687  7.5238828e-05
             41   0.0032146413  7.5300144e-05   0.0031910264  7.5109779e-05   0.0032521762   7.639763e-05
             42   0.0032483263   7.596342e-05   0.0032274427  7.5601338e-05   0.0032878141  7.6685515e-05
             43   0.0032826379  7.6214683e-05   0.0032628829  7.5853094e-05   0.0033214444  7.6959345e-05
             44   0.0033198377  7.6638384e-05   0.0032986714  7.6291894e-05   0.0033633444  7.7536295e-05
             45   0.0034837097  7.8856653e-05    0.003461945   7.846764e-05   0.0035273615  7.9702906e-05
             46   0.0035013478  7.8595962e-05   0.0034788194  7.8247488e-05   0.0035440923  7.9669027e-05
             47   0.0035547528  7.8908186e-05   0.0035198202  7.8800332e-05    0.003588431  8.0136268e-05
             48   0.0035545358  7.9375422e-05   0.0035316781  7.8981073e-05   0.0035987149  8.0193131e-05
             49   0.0036565515  7.9834906e-05   0.0036344972  7.9442541e-05   0.0037023222  8.0738971e-05
             50   0.0035823398  7.9320349e-05   0.0035598758  7.8955132e-05   0.0036272332  8.0237252e-05
