#           ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0  0.00041534108  1.1994568e-05   0.0004115368  1.1989241e-05  0.00041785821  1.2049794e-05
              5   0.0013188979  2.1847795e-05   0.0013078628  2.2091043e-05   0.0013267046   2.231227e-05
             10   0.0021160677  2.7465197e-05   0.0021044959  2.7370049e-05   0.0021295743  2.8071258e-05
             15   0.0029942155   3.300616e-05   0.0029707154  3.2780367e-05   0.0030081779  3.3146657e-05
             20   0.0036811467  3.6150443e-05   0.0036622804  3.6268339e-05   0.0037166963  3.6707419e-05
             25   0.0044630675  4.0094002e-05   0.0044367204  3.9958658e-05   0.0045075113  4.0771853e-05
             30   0.0050811566  4.3021536e-05   0.0050619314  4.3129827e-05   0.0051467124  4.3813718e-05
             35   0.0056078553  4.4798865e-05   0.0055738502  4.4742834e-05    0.005676542  4.5493296e-05
             40   0.0059360313  4.6176072e-05   0.0058953794   4.600658e-05   0.0060124632  4.6991548e-05
             45   0.0064935635  4.8440989e-05   0.0064475728  4.8330333e-05   0.0065748063  4.9341787e-05
             50   0.0066624818  4.8959578e-05   0.0066231124  4.8742027e-05   0.0067573213  4.9709428e-05
             55   0.0068796039   5.037301e-05   0.0068403504  5.0135785e-05   0.0069810857  5.1448274e-05
             60   0.0069851404  5.0572168e-05   0.0069420684  5.0424397e-05    0.007077634  5.1460324e-05
             65   0.0070896095  5.0352348e-05   0.0070424135  5.0171308e-05     0.00717973  5.1414151e-05
             70   0.0069892247   5.031457e-05   0.0069484816  5.0132604e-05    0.007086758  5.1317138e-05
             75   0.0069622674  4.9818408e-05   0.0069285021  5.0190792e-05   0.0070682146    5.13875e-05
             80   0.0069464455  5.0233026e-05   0.0069053387  5.0299437e-05   0.0070420675  5.1363494e-05
             85   0.0067596456  4.9634092e-05   0.0067223886  4.9444132e-05   0.0068534016  5.0783683e-05
             90   0.0065580045   4.819596e-05   0.0065205957  4.8157506e-05   0.0066428408  4.9219545e-05
             95   0.0063078294  4.7714994e-05   0.0062721298  4.7514116e-05   0.0063891485  4.8627386e-05
            100   0.0060877067  4.6286077e-05    0.006051382  4.6133811e-05   0.0061540952  4.7043361e-05
            105   0.0057833703   4.583587e-05   0.0057487089  4.5660934e-05   0.0058464338  4.6450366e-05
            110   0.0055630787  4.4626864e-05   0.0055303583   4.440588e-05   0.0056254929  4.5117501e-05
            115   0.0053057767  4.3446094e-05   0.0052750686  4.3444885e-05   0.0053600272  4.4167374e-05
            120   0.0049843877  4.2128632e-05    0.004952229  4.2202685e-05   0.0050389619  4.3142117e-05
            125   0.0048448992  4.1539237e-05   0.0048159979  4.1451242e-05   0.0048862156  4.2107507e-05
            130   0.0045739498  3.9955861e-05   0.0045501279  3.9975689e-05   0.0046185808  4.0727224e-05
            135   0.0043789548  3.8975811e-05    0.004352761  3.8779655e-05   0.0044174524  3.9294348e-05
            140   0.0040688788  3.8456864e-05   0.0040497329  3.8398293e-05   0.0041120764  3.8990964e-05
            145   0.0038091021  3.7045212e-05   0.0037862585  3.6804077e-05   0.0038411825  3.7463313e-05
            150     0.00356433  3.6134357e-05   0.0035475555  3.6074533e-05   0.0035954331  3.6610023e-05
            155   0.0033382452  3.4949706e-05   0.0033164492  3.4796461e-05   0.0033566593  3.5419678e-05
            160   0.0031713256  3.3455609e-05   0.0031528266  3.3290511e-05   0.0031937669  3.3692934e-05
            165   0.0029554318  3.2542143e-05   0.0029379678  3.2374608e-05   0.0029746732  3.2751812e-05
            170   0.0028202468  3.1847675e-05   0.0028042151  3.1829449e-05    0.002835534  3.2188871e-05
            175   0.0026134455  3.0417601e-05   0.0025979537  3.0272239e-05   0.0026272183   3.066867e-05
            180   0.0024497885  2.9495154e-05   0.0024353686  2.9341065e-05   0.0024629363   2.967375e-05
            185   0.0022899772  2.8173598e-05   0.0022770683  2.8054505e-05    0.002302177  2.8348831e-05
            190   0.0021062388  2.7351109e-05   0.0020943366  2.7208334e-05   0.0021135505  2.7595497e-05
            195   0.0019980845   2.653368e-05   0.0019867996  2.6402304e-05   0.0020066362  2.6651834e-05
            200   0.0018640605  2.5569417e-05   0.0018528564   2.549715e-05   0.0018713802  2.5780491e-05
            205   0.0017242121  2.4640196e-05   0.0017145041  2.4529589e-05   0.0017313175  2.4762413e-05
            210    0.001626355  2.4109857e-05   0.0016173271  2.4002391e-05   0.0016323624   2.422847e-05
            215   0.0015704339  2.3412031e-05   0.0015613704  2.3297736e-05   0.0015754926  2.3484411e-05
            220   0.0014201219  2.2382434e-05   0.0014118901  2.2260746e-05    0.001424364  2.2443474e-05
            225   0.0013400522  2.2179577e-05   0.0013330723  2.2078703e-05   0.0013450384  2.2279233e-05
            230   0.0012638537  2.1158468e-05   0.0012570019    2.10606e-05   0.0012678607  2.1232214e-05
            235   0.0011680791  2.0298502e-05   0.0011612287  2.0189236e-05   0.0011718952  2.0361054e-05
            240   0.0010787584  1.9578578e-05    0.001073405  1.9491859e-05   0.0010817992  1.9636149e-05
            245   0.0010346458  1.9129541e-05   0.0010290474   1.905137e-05   0.0010378365  1.9158466e-05
            250  0.00094347845  1.8341704e-05  0.00093846473  1.8258431e-05  0.00094596627   1.838652e-05
            255  0.00093066212   1.806932e-05  0.00092586189  1.7998287e-05  0.00093247276   1.810349e-05
            260  0.00088365771  1.7584049e-05  0.00087938775  1.7505829e-05  0.00088596696  1.7633593e-05
            265  0.00081002326  1.6671467e-05  0.00080603201  1.6599395e-05  0.00081171321  1.6701146e-05
            270  0.00071683019  1.5886439e-05  0.00071368323  1.5829703e-05   0.0007185699  1.5923744e-05
            275  0.00069753467  1.5503795e-05  0.00069380106  1.5434187e-05  0.00069919526  1.5528703e-05
            280  0.00065203232  1.5150994e-05  0.00064912376  1.5095909e-05  0.00065329789  1.5171921e-05
            285  0.00060131145  1.4494561e-05  0.00059842617  1.4432513e-05  0.00060299131  1.4538768e-05
            290  0.00058912546   1.455051e-05  0.00058638306  1.4484698e-05  0.00059043584   1.459624e-05
            295  0.00051678499  1.3593409e-05  0.00051454562  1.3539803e-05  0.00051821802  1.3609302e-05
            300  0.00051346032  1.3635541e-05   0.0005110657  1.3575441e-05  0.00051480706  1.3666994e-05
            305  0.00047711935   1.292207e-05  0.00047488064   1.287142e-05  0.00047803537  1.2951162e-05
            310  0.00043915187  1.2413387e-05  0.00043716045  1.2357106e-05  0.00044007441  1.2434683e-05
            315  0.00041625945  1.2082989e-05  0.00041444165  1.2039983e-05  0.00041729839  1.2112644e-05
            320  0.00040439559  1.1932544e-05  0.00040292111  1.1893964e-05  0.00040509426  1.1952183e-05
            325   0.0003714727  1.1078254e-05  0.00037067124  1.1055595e-05   0.0003729415  1.1119573e-05
            330  0.00033535393  1.0579882e-05  0.00033385335  1.0590125e-05  0.00033578924   1.058855e-05
            335  0.00030495095  1.0260537e-05  0.00030375216  1.0226871e-05  0.00030555369  1.0284947e-05
            340  0.00029885429  1.0203402e-05  0.00029766255  1.0163964e-05    0.000299482  1.0215062e-05
            345  0.00026116032  9.5048998e-06  0.00026035561  9.4774299e-06  0.00026154269  9.5171184e-06
            350  0.00025580896  9.3224277e-06  0.00025508998  9.2951012e-06  0.00025633367  9.3368764e-06
            355   0.0002399011   8.950458e-06  0.00023912401  8.9213983e-06  0.00024015952  8.9621228e-06
            360  0.00022613944    8.75158e-06  0.00022540459  8.7257911e-06   0.0002264175  8.7596346e-06
            365  0.00023372568  8.9525227e-06  0.00023271207   8.918532e-06  0.00023432428  8.9658578e-06
            370  0.00019290091  8.0911238e-06   0.0001922778  8.0687412e-06  0.00019336518  8.0980455e-06
            375  0.00020238953  8.3902453e-06  0.00020173501   8.364066e-06  0.00020258294  8.4022851e-06
            380  0.00016570489  7.5715824e-06  0.00016514778  7.5479789e-06  0.00016592233  7.5831795e-06
            385  0.00017075084  7.4422838e-06  0.00017049636  7.4291007e-06  0.00017111469  7.4545129e-06
            390  9.0603313e-05  5.6543907e-06  9.0091102e-05  5.6423503e-06  9.1610877e-05  5.6777465e-06
            395  0.00012541646  6.6671968e-06  0.00012524141  6.6581189e-06  0.00012562484  6.6761147e-06
            400   0.0001421382  6.8789164e-06   0.0001417524  6.8666692e-06  0.00014235002  6.8887422e-06
            405  0.00011713454  6.3403471e-06    0.000116795  6.3245958e-06  0.00011741779  6.3455689e-06
            410  0.00011753693  6.3885896e-06  0.00011712052  6.3736979e-06  0.00011786684  6.3972471e-06
            415  0.00011253313  6.2055363e-06  0.00011235397  6.2017955e-06  0.00011284676  6.2176448e-06
            420  0.00010194251  5.9082449e-06  0.00010175736  5.8969019e-06  0.00010204104  5.9168054e-06
            425  9.1064215e-05  5.4866501e-06  9.0905818e-05  5.4762783e-06  9.1162115e-05  5.4933622e-06
            430  8.0947794e-05  5.2113529e-06  8.0607636e-05   5.209048e-06  8.0961753e-05  5.2133424e-06
            435  8.3810488e-05  5.5437094e-06  8.3653378e-05  5.5319363e-06  8.3967806e-05  5.5506952e-06
            440  7.2444974e-05  5.0195169e-06  7.2400956e-05  5.0155663e-06  7.2503564e-05  5.0222415e-06
            445  7.6638438e-05  5.1198903e-06  7.6541104e-05   5.114164e-06  7.6721144e-05  5.1190303e-06
            450  2.7527833e-05  3.0909033e-06  1.7449135e-05  2.4102985e-06   2.895361e-05  3.1779216e-06
            455  5.9444652e-05  4.6752975e-06  5.9368862e-05  4.6693697e-06  5.9520772e-05  4.6733637e-06
            460  5.9169637e-05  4.4460247e-06  5.9127524e-05  4.4434773e-06  5.9228682e-05  4.4469055e-06
            465  2.1791545e-05  2.6558114e-06  6.1297935e-07  3.2302924e-07  3.8202206e-05  3.5995811e-06
            470   7.043952e-05  4.9188282e-06  7.0391412e-05  4.9146782e-06  7.0507668e-05  4.9179013e-06
            475  5.5843818e-05  4.4479885e-06  5.5784373e-05  4.4433725e-06  5.5886385e-05  4.4527933e-06
            480  4.4860775e-05  3.9098024e-06  4.4765509e-05  3.9032329e-06  4.4896492e-05  3.9104259e-06
            485  5.0258064e-05     4.3869e-06  5.0163005e-05  4.3818003e-06  5.0322468e-05  4.3831298e-06
            490  4.2429937e-05  3.9377045e-06  4.2392761e-05  3.9368242e-06  4.2468421e-05  3.9445472e-06
            495  4.2568219e-05  3.9146498e-06   4.232375e-05   3.903445e-06  4.2694011e-05  3.9189987e-06
            500  4.2568219e-05  3.9146498e-06   4.232375e-05   3.903445e-06  4.2694011e-05  3.9189987e-06
