#         total        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      477.80396     0.45479311      475.06689     0.46441099      482.80946     0.50511969
              1      477.80396     0.45479311      475.06689     0.46441099      482.80946     0.50511969
