# YH_HIG19016-a        central        num_err    min (scale)        num_err    max (scale)        num_err
# afidR3
              0       0.504673   0.0024268872     0.50146089   0.0024142259     0.51007461   0.0024862408
           0.15     0.49002181   0.0023913645     0.48696094   0.0023792506     0.49508093   0.0024363434
            0.3     0.46497258   0.0023411598     0.46210792   0.0023419046     0.46926073    0.002397809
           0.45     0.44231408   0.0022773943     0.43934806    0.002275058     0.44641649   0.0023211987
            0.6      0.4010099   0.0021933908     0.39833621   0.0021992156     0.40470928   0.0022389684
           0.75     0.36385238   0.0020828956     0.36148854   0.0020722598     0.36741558   0.0021166003
            0.9     0.29501865   0.0013297442     0.29336132     0.00132944     0.29804272   0.0013579337
            1.2     0.19420114   0.0009295259     0.19323464  0.00093203906     0.19561092  0.00095584987
            1.6    0.097103385  0.00067533321     0.09660005  0.00067297428    0.097980267  0.00068452509
              2    0.024393221  0.00030466201    0.024287527  0.00030366907    0.024583709  0.00030735228
            2.5    0.024393221  0.00030466201    0.024287527  0.00030366907    0.024583709  0.00030735228
