#   YH_HIG19016        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.77083378   0.0029667739     0.76603304   0.0029519311     0.77978559   0.0030532092
           0.15     0.75113098    0.002926366     0.74625255   0.0029201595     0.75904053   0.0029872345
            0.3      0.7258619   0.0028818532     0.72178036   0.0028771465     0.73365921   0.0029514409
           0.45      0.7016488   0.0028594579     0.69729738   0.0028580733      0.7090392   0.0029221785
            0.6     0.65106016   0.0027624699     0.64682753   0.0027690607     0.65764572   0.0028308046
           0.75     0.59987287    0.002657008     0.59592354    0.002648209     0.60586882   0.0027083884
            0.9     0.51514576   0.0017348584     0.51253695   0.0017549366     0.52040045   0.0017946066
            1.2     0.37225755   0.0012700476     0.37019447   0.0012739026     0.37582747   0.0013151383
            1.6     0.21632174  0.00099721848     0.21518937  0.00099874095     0.21824905   0.0010279042
              2    0.095575178  0.00061549183     0.09520977  0.00061403615    0.096288136  0.00062867812
            2.5    0.095575178  0.00061549183     0.09520977  0.00061403615    0.096288136  0.00062867812
