#       dyttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      0.9353274    0.049943567     0.77790241    0.042463609      1.1459734    0.062940101
           -3.8      1.5098794    0.093298974      1.3030732     0.09537241      1.7729656    0.091590897
           -3.6      2.2481583     0.18419305      1.9838472      0.1959585      2.5580552     0.16151165
           -3.4      2.9354158     0.10467886      2.5500753    0.097850979      3.4798944     0.13896024
           -3.2      4.5211092     0.11680868       3.934578     0.10623978      5.2373893     0.13811189
             -3      6.2595233     0.18177432      5.5078543      0.1820772      7.1096899     0.18203105
           -2.8      8.7829702     0.16399082      7.7737363     0.15195101      9.9888258      0.1930418
           -2.6      12.186957     0.20179559      10.987988     0.19382689       13.47351      0.2327318
           -2.4      17.236758     0.22097644      15.585777     0.20286968      19.033498     0.27388029
           -2.2      24.248336     0.33500159      22.236045     0.38098695      26.315361     0.32469757
             -2      34.002632     0.32852778      31.569683     0.44484527      36.631981     0.38818122
           -1.8      47.085219     0.50166591      43.736027     0.49385648      50.448047     0.54004259
           -1.6      62.073844     0.42159544      57.557225     0.38862722      66.770758     0.52063528
           -1.4      81.555729     0.49288933      76.171379     0.51022392       87.18476     0.60367859
           -1.2      102.51617     0.54275131      95.784101     0.49814093      109.29275     0.67194816
             -1      124.90361     0.61436715      117.08945     0.59183306      132.58969     0.75253272
           -0.8      146.78115      0.6582389      138.14423     0.64765631      155.74535     0.81356837
           -0.6      166.87031     0.71417842       156.9857      0.7253972      176.68547     0.86244348
           -0.4      180.88295     0.76732304      170.13216      0.7669624      190.83376     0.96435761
           -0.2      191.07458     0.82645438      178.81163     0.81911259       204.1075      1.0330089
              0      192.02401      1.1216829      180.04474     0.91869683      205.18785      1.5735042
            0.2       179.7241     0.73390238       168.7978     0.77165107       190.9733      0.8950022
            0.4      165.47438      0.6999291      155.93766      0.6786065      174.74835     0.85843394
            0.6      146.53244     0.64851699      137.86223     0.63241258      155.29835     0.80545126
            0.8      125.03998     0.64391905      117.42741     0.70020214      132.24219     0.74213643
              1      102.44673      0.5489819       95.74765     0.52163057      109.20461     0.67252272
            1.2      81.151832     0.54375692      75.902951     0.56377642      86.178125     0.59859636
            1.4      62.506428     0.58223527      58.234816     0.67121285      66.610918     0.52818161
            1.6      46.490944     0.36271464      42.904897     0.33481986      50.235078     0.44942024
            1.8      34.421439     0.31807966      31.534967     0.29534174      37.628363      0.3868909
              2      24.163038     0.27135656      22.155375     0.25714792       26.18927     0.32459515
            2.2      17.710593     0.26721093      16.089586     0.29859277      19.514772     0.27536834
            2.4      11.989867      0.1808369      10.631321     0.16529581      13.569503     0.22482206
            2.6      8.2821709     0.15882422      7.3458763        0.14467      9.3813918     0.19014989
            2.8      5.9730238      0.1306775        5.26045     0.11737988      6.7913275     0.15848924
              3      4.0731709     0.12001776      3.5394055      0.1095766      5.3382079     0.58436559
            3.2      2.9290267    0.096593995      2.5330123    0.087401793      3.3982939     0.11235689
            3.4      2.0667656    0.075396154      1.7436746    0.065361186      2.4902806    0.092990034
            3.6      1.3479004    0.073560038      1.1317061     0.06807271      1.6123955    0.082159697
            3.8     0.88674642     0.06410161     0.76984777    0.067081277      1.0618355    0.072339148
              4     0.88674642     0.06410161     0.76984777    0.067081277      1.0618355    0.072339148
