#        etatop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4       4.469584      0.1165589      4.1055966     0.10980605      4.9899918     0.14418497
           -3.8      6.4756505     0.14948353      6.0299257     0.15696748      6.8943912     0.17677786
           -3.6      9.0192052     0.20692819      8.3271441     0.22514543      9.7661546     0.21480746
           -3.4      12.889758     0.20102692      11.725226     0.32489486      14.116302     0.25212056
           -3.2      17.842511     0.26431704      16.355509     0.23065477       19.37828      0.3560405
             -3      24.145748     0.28070615      22.533387     0.32489783      26.153719     0.34099271
           -2.8      31.450242     0.42605542      29.254192     0.46839023      33.616132     0.44093246
           -2.6      40.536877     0.41310504      37.817447     0.44380215      43.587018     0.43705528
           -2.4      50.385444     0.41798372      46.999369     0.42597177      53.905945     0.53209891
           -2.2      60.892798     0.43450357      56.688141      0.4049431      65.450999     0.54003442
             -2      70.834356     0.50296545      66.054054     0.47031291      75.880403       0.618776
           -1.8      81.084709     0.55165036      76.293836     0.68127357      86.060191     0.60576068
           -1.6      88.765902     0.50935903      82.844976     0.48843344      94.936163     0.62093967
           -1.4      94.187271     0.53320356      88.045835      0.5078536      100.28806     0.64992839
           -1.2      100.53425     0.54428258      93.838064     0.50361088      107.53925     0.67413363
             -1      102.46766     0.56243944      95.914825     0.52535972      108.88673     0.70274981
           -0.8      104.17402     0.55271646      97.421798     0.53489935      110.92352     0.67213822
           -0.6       102.4755     0.54820624        96.0577     0.51581613      108.53632     0.67225431
           -0.4      102.92147     0.55275104      96.655365      0.5342915      108.52927     0.66737341
           -0.2      102.54649     0.58210748      95.938957     0.53725614      108.90847     0.73317228
              0      102.69395     0.56108359      96.411204     0.54882134      108.48862     0.67697277
            0.2      103.32495     0.54570094      96.602514     0.51461124      110.12553     0.67375412
            0.4      103.26198     0.55532095      96.719613     0.53930986      109.69683     0.67197903
            0.6      103.59495     0.55435133      96.740254     0.52791472      110.46153     0.67712595
            0.8      103.07322     0.56533522        96.4084     0.54085855       109.6173     0.69536313
              1      99.849635     0.56761589      93.338504     0.57584323      106.19744     0.66853179
            1.2      95.102334     0.53337729      89.011064     0.49460047      101.58112     0.65403997
            1.4      88.845711     0.53966308      83.163027     0.54309894      94.674185     0.64038549
            1.6      80.018271     0.48591466      74.535578     0.44913216      85.925501     0.61125864
            1.8      71.239066     0.47467329      66.568687     0.44123487      76.003654     0.59829904
              2      61.029542     0.49793253      56.768674     0.49820901      65.824856      0.5978429
            2.2      50.952173     0.42877796       47.31998     0.45356377      54.729812     0.49593172
            2.4      41.354766     0.80613058      38.445923     0.73827054      44.717597       1.101801
            2.6      31.246393     0.33145383      29.060962     0.30351764      33.436864     0.39715373
            2.8      23.816302     0.29382876      21.928219     0.27267901      26.013577     0.38207788
              3      17.427785     0.27230704      16.215293     0.30814539      18.638382     0.30341015
            3.2      13.042692     0.22051006      12.163978      0.2249791      14.100883     0.25700557
            3.4      9.4531834     0.25159072      8.8104046     0.25141529      10.185961     0.30840665
            3.6      6.4534124     0.33338467      5.9370642     0.26143864      7.0279758      0.4720988
            3.8      4.5459195     0.14981883       4.238215     0.13963969      4.8663194      0.1949545
              4      4.5459195     0.14981883       4.238215     0.13963969      4.8663194      0.1949545
