#     detattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      4.6068572    0.027923197      3.9695942    0.024039945      5.3258232    0.032549409
           -3.8      5.8689454    0.031505829       5.072488    0.027215319      6.7579276      0.0365767
           -3.6      7.4028986    0.035348517      6.4120091    0.030616052      8.5017078    0.040879188
           -3.4      9.3413772    0.039736403      8.1106191    0.034482302      10.696047    0.045883218
           -3.2       11.71717    0.044460386      10.206416     0.03871903      13.359765    0.051039642
             -3      14.696481    0.049733248      12.836504    0.043441691      16.696498    0.056880752
           -2.8      18.411765    0.055601455      16.128609    0.048716509      20.839321    0.063341354
           -2.6       22.83862    0.061959176      20.065549    0.054692469      25.747459    0.074175181
           -2.4      27.995186    0.068371251        24.6649    0.060256005      31.448384    0.077336438
           -2.2      34.009231    0.075170845      30.045739    0.066496656      38.062257    0.084823248
             -2      41.280781    0.082678248       36.58109    0.073303102      46.015151    0.092874663
           -1.8      49.385267    0.090218581      43.879719    0.080218825      54.854363      0.1008859
           -1.6      58.292774     0.09780314      51.948938    0.087232841      64.488273     0.10909053
           -1.4      67.686754     0.10510758      60.492305     0.09403999      74.596447      0.1165904
           -1.2      77.010842     0.11186338      68.985355     0.10034373      84.611996     0.12352189
             -1      86.669822     0.11951211      77.857131     0.10743541      94.849769     0.15224548
           -0.8      95.028522     0.12385522       85.48526     0.11160798      103.82401     0.13613242
           -0.6       102.3596     0.12842209      92.193899     0.11585145      111.66173     0.14088104
           -0.4      107.16523     0.13131029      96.593951     0.11854881      116.79218     0.14373446
           -0.2       110.1225      0.1330874      99.306622     0.12021046      119.94323     0.14562705
              0      110.33629     0.13319002      99.496982      0.1203086      120.18251     0.14564117
            0.2      107.44339     0.13148876      96.859484     0.11874296      117.07234     0.14404536
            0.4      102.36855     0.12841333      92.204934     0.11587435      111.66606     0.14093539
            0.6      95.320825     0.12404668      85.750732     0.11178758      104.14112     0.13645647
            0.8      86.455793     0.11829941      77.632219     0.10639287      94.691323      0.1302648
              1      77.172625     0.11198417      69.145442     0.10046466      84.761276     0.12384602
            1.2      67.469683     0.10495351      60.305845    0.093934783      74.341163     0.11665078
            1.4      58.329572    0.097775396      51.994441    0.087261419      64.510294     0.10883771
            1.6      49.302594     0.09013435      43.821297    0.080199071      54.736129     0.10086545
            1.8      41.370194    0.082767458      36.672482    0.073513395       46.09358    0.093836197
              2      34.378653    0.075592404      30.372823    0.066809581      38.478584     0.08515246
            2.2      28.022924    0.068387234      24.688264    0.060264262      31.482412     0.07740032
            2.4      22.686986    0.061645536      19.927104    0.054127246      25.586691    0.070152986
            2.6      18.485267    0.055737239       16.19183    0.048803969      20.924447    0.063663082
            2.8      14.733977    0.049789556      12.868122    0.043485553      16.743788    0.056986419
              3      11.813801    0.044620098      10.294037     0.03886721      13.464248    0.051334628
            3.2       9.318817    0.039710161      8.0970013    0.034443374      10.659104     0.04599803
            3.4      7.3644219     0.03527098      6.3817831    0.030548909      8.4528347    0.040891839
            3.6      5.8253257    0.031379947      5.0315102     0.02708469      6.7130935    0.036454712
            3.8      4.5903388    0.027853138      3.9590931    0.024010045      5.2993582    0.032428209
              4      4.5903388    0.027853138      3.9590931    0.024010045      5.2993582    0.032428209
