#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      43.579444      0.1013337      42.153093    0.098166677      45.218961     0.10516895
            0.2      43.960298      0.1017799      42.569735    0.098720652      45.596451     0.10558544
            0.4      45.564896     0.10354972      44.211152     0.10060932      47.214535     0.10731512
            0.6      48.010789     0.10619277      46.663049     0.10329297      49.690662     0.10992327
            0.8      51.682761     0.11013365      50.295828      0.1072516      53.399314     0.11381014
              1      56.950557     0.11545388      55.485886     0.11255842      58.751022     0.11911136
            1.2      64.124004     0.12225971      62.554941     0.11934226      66.045436     0.12593823
            1.4      74.818712     0.13171876       73.08615     0.12875695      76.927274       0.135439
            1.6      89.864284     0.14383728      87.926184      0.1407996      92.211161     0.14759191
            1.8      110.91771     0.15899713      108.70738     0.15589513      113.57885     0.16281146
              2      140.78547     0.17785694      138.23654     0.17470275      143.85379      0.1817317
            2.2      184.16963     0.20140862      181.20932     0.19825037      187.72594     0.20528055
            2.4      244.80243     0.22889458      241.43101     0.22582768      248.86737     0.23267874
            2.6      325.25717      0.2588039      321.55123     0.25594718      329.73426      0.2623227
            2.8      417.72359     0.28665345      413.83172     0.28408297      422.40559     0.28980966
              3      336.92337     0.26321974      334.11111     0.26111417      340.28516     0.26579695
            3.2      336.92337     0.26321974      334.11111     0.26111417      340.28516     0.26579695
