#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      113.84361     0.16135697      112.66558     0.15974031      115.26107     0.16334125
            0.2      112.11818     0.16015041      110.93521     0.15851903      113.54123     0.16215754
            0.4      110.52149     0.15896413      109.32249     0.15729134      111.96844     0.16103005
            0.6      109.81279     0.15840533       108.5715     0.15667699      111.30888     0.16055647
            0.8      109.42323     0.15809239      108.12598     0.15626965      110.98373     0.16033025
              1      110.70193     0.15892353      109.31535     0.15698735      112.36711     0.16129768
            1.2      113.61347     0.16088903      112.11024     0.15881771      115.41623     0.16342508
            1.4      118.46282     0.16409444      116.80801     0.16185917      120.44261     0.16682493
            1.6      125.86166     0.16883468        124.005     0.16641113      128.08081     0.17180562
            1.8      135.64762     0.17485536      133.54461     0.17220828      138.16224     0.17809554
              2      148.67551     0.18258167      146.25731     0.17968258      151.57072     0.18613328
            2.2      165.46792     0.19184393      162.64873     0.18865938      168.85258      0.1957683
            2.4      186.31812     0.20267399      183.01031     0.19916745      190.31708     0.20702582
            2.6      210.45774     0.21421922      206.59302     0.21039854      215.18362     0.21902864
            2.8      233.80933     0.22462914      229.37061     0.22050316      239.34384     0.22994461
              3      174.39969     0.19687233      171.01676     0.19321511       178.7056     0.20173323
            3.2      174.39969     0.19687233      171.01676     0.19321511       178.7056     0.20173323
