#  R_yHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      20.687158    0.070286134       20.48285    0.069620217      20.932156     0.07111782
            0.2      57.836243     0.11648395      57.274733     0.11538744      58.516314     0.11783633
            0.4      85.110858     0.14026679      84.265778     0.13891592      86.135723     0.14193964
            0.6      102.74776     0.15340136      101.67818     0.15184962      104.04361       0.155321
            0.8      112.92307     0.16036346      111.66805     0.15862785      114.43846     0.16250506
              1      118.58747     0.16405942      117.18707     0.16216392      120.27255     0.16638236
            1.2      122.27782     0.16645718      120.74557     0.16442174      124.11618     0.16896016
            1.4      126.01898     0.16882455      124.34488     0.16663673      128.02615     0.17150513
            1.6      131.15274     0.17201665      129.31371     0.16966001      133.35423     0.17489688
            1.8      137.93352     0.17615243      135.89358     0.17360912      140.37567     0.17926348
              2      148.60778     0.18239973      146.29405     0.17962771      151.37948     0.18579671
            2.2      161.83126     0.18978201      159.18556     0.18675108       165.0083     0.19350819
            2.4      179.28757     0.19896639      176.20828     0.19563749      183.00229     0.20308923
            2.6      201.26804     0.20979981      197.65471     0.20613704      205.66384     0.21438747
            2.8      224.83727      0.2205777      220.64261     0.21658659      230.01242     0.22565194
              3      219.22253     0.21829649      215.02338      0.2142725      224.49722     0.22354021
            3.2      74.491241     0.13212372      73.070101       0.129727      76.248831     0.13522658
            3.4      29.378228    0.084392392      28.843609    0.082939316      30.035526    0.086248772
            3.6      13.291378    0.057556644      13.061221    0.056631254      13.576011    0.058749011
            3.8      6.1842718    0.039670071      6.0840141    0.039087225      6.3090741    0.040439385
              4      2.9104681    0.027315657      2.8652618     0.02693455      2.9665312    0.027807384
            4.2      1.3926754    0.019149722      1.3717896    0.018902082      1.4191056    0.019477071
            4.4     0.64267994    0.013024669      0.6341509    0.012868484     0.65360541    0.013229794
            4.6     0.28838077   0.0087757565     0.28451588   0.0086738163     0.29334176   0.0089128195
            4.8     0.12883149   0.0058459031     0.12726848   0.0057822278     0.13080271    0.005929033
              5     0.12883149   0.0058459031     0.12726848   0.0057822278     0.13080271    0.005929033
