# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      19.763062    0.034788209      17.967518    0.038773104      21.558603    0.037728638
            0.2      19.492884    0.034782146      17.661063    0.040285319      21.324707    0.037794234
            0.4      19.223485    0.035335762      17.316922    0.041600053      21.130048    0.037837265
            0.6      19.085146     0.03765466      17.095285    0.044751608      21.075005    0.038940661
            0.8      19.103824    0.038456465      16.988516    0.047365219      21.219133    0.038941767
              1      19.551306    0.035499765      17.271107    0.040814215      21.831504    0.039170911
            1.2      20.277196    0.035669254        17.8048    0.038972198       22.74959    0.041067174
            1.4      21.359788    0.039349163      18.580234    0.047266079      24.139343    0.040572497
            1.6      23.031145    0.036618548      19.835221    0.038248914      26.227069    0.046282814
            1.8      25.207864     0.03878194      21.481557    0.040103194      28.934173    0.050884043
              2      28.017184    0.039696172      23.666451    0.040250139      32.367916    0.049127505
            2.2      31.590155    0.043345444      26.210546    0.046339504      36.969766    0.056470675
            2.4      35.966441    0.047036882      29.355372    0.047732216      42.577508    0.066491517
            2.6      40.750226    0.048490855      32.435171    0.066011748      49.065282    0.064800333
            2.8      44.334018    0.054376177      33.846042    0.069415113      54.821994    0.058438432
              3      30.371362    0.074817366       21.17091     0.10395941      39.571813    0.061951281
            3.2      30.371362    0.074817366       21.17091     0.10395941      39.571813    0.061951281
