#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1.8936815    0.023514147      1.3468084    0.017266156      2.7343767    0.032977462
            0.2       2.220531    0.020771701       1.571716    0.015446804      3.2241109    0.028690065
            0.4      2.5253946    0.020747199      1.7824278    0.015465665      3.6784255    0.028567985
            0.6      2.8937929    0.032097576      2.0386822    0.023825489      4.2235264    0.044385505
            0.8       3.465459    0.019527999      2.4448476    0.014530045      5.0514431    0.026948949
              1      4.1639947    0.026602896      2.9397823     0.02021243      6.0655546    0.035858902
            1.2      5.2274908    0.022474495      3.6951459    0.016615219      7.6052921    0.031249262
            1.4      6.9127625    0.028351893      4.8968845    0.021157772      10.035342    0.039014713
            1.6      9.2029855    0.035108667      6.5219716    0.026081416       13.35431    0.048510926
            1.8      13.066037    0.034878125      9.2783902    0.025616792      18.920899    0.048816711
              2      19.007554     0.03914684      13.510172    0.028738191      27.498695    0.054832475
            2.2      28.791522    0.046867431      20.480913    0.034479733      41.619789    0.065566378
            2.4      44.824622    0.056354692      31.909219    0.041244225      64.750885    0.079356959
            2.6      70.305714    0.065020529       50.06562    0.047184636      101.52851    0.092283691
            2.8      106.60152    0.074174546      75.918343    0.053496189      153.94321     0.10596278
              3      96.022017    0.068151353      68.373495    0.048960836      138.69559    0.097744345
            3.2      96.022017    0.068151353      68.373495    0.048960836      138.69559    0.097744345
