#    dyHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4    0.014823144   0.0040820392   0.0096250883    0.002936545     0.02370947   0.0058621988
           -3.8    0.030139296   0.0022558562    0.020113104   0.0015614827    0.046869742   0.0033853602
           -3.6    0.058342368   0.0029109993    0.039311079   0.0019618908    0.089768565   0.0044902659
           -3.4     0.11082791    0.010710676    0.074784094   0.0072574416     0.17015219    0.016376847
           -3.2     0.17816026   0.0051901278     0.12128477   0.0035752775     0.27088961   0.0078126407
             -3     0.29592901   0.0057681587     0.20237392   0.0040074705     0.44756316   0.0086034754
           -2.8     0.48565419    0.009409657     0.33379109   0.0065840113      0.7302748    0.013903221
           -2.6     0.78209797     0.01072094     0.54034948   0.0075163697      1.1690014    0.015826438
           -2.4      1.2539016     0.01309778     0.87025598   0.0092829341      1.8644955    0.019110081
           -2.2      1.9746152    0.017970583      1.3764781    0.012668507      2.9214994    0.026318429
             -2      3.0425618    0.017696826      2.1298048    0.012733789      4.4799997    0.025371045
           -1.8       4.634145    0.020243937       3.256747    0.014613709        6.79307    0.028911216
           -1.6      6.9479244    0.024003796      4.9001541    0.017355739      10.143059    0.034207299
           -1.4      10.163721    0.029367525       7.190844    0.021351634      14.784216    0.041590612
           -1.2      14.498722    0.033963951      10.285663    0.025230272      21.024809    0.047160075
             -1      20.027684    0.036189993      14.242749    0.026349051      28.962331    0.051150799
           -0.8      26.487494    0.048640721      18.871071     0.03598148      38.224279      0.0676282
           -0.6      33.313886    0.046235821       23.76418    0.033727425      48.007342    0.065216137
           -0.4      39.250909    0.050461807      28.024033    0.036926367      56.506764    0.070928523
           -0.2      43.023859     0.05530431      30.726288    0.040551227      61.918447    0.077575906
              0      43.071249    0.051119672      30.761246    0.037326883       61.98388    0.072024916
            0.2      39.641659    0.049661325      28.303881    0.036069407      57.067068    0.070372825
            0.4      33.820516    0.046733817      24.127657    0.034112841      48.732487    0.065864981
            0.6      27.015823    0.042719812      19.246841    0.031251727      38.987654    0.060077933
            0.8      20.519526    0.036746662      14.593003    0.026782067      29.671749    0.051886713
              1      14.953865    0.031572364      10.610284    0.022891257      21.680569    0.044820975
            1.2       10.53099      0.0291708      7.4522344    0.021222858       15.31479    0.041273584
            1.4      7.2391847    0.025292901      5.1063282    0.018263694      10.566558     0.03608659
            1.6       4.866572    0.019627622      3.4193806    0.014104064      7.1348581    0.028162932
            1.8      3.2200699    0.020959435      2.2524412    0.015315918      4.7447991    0.029562277
              2      2.1126007      0.0140942      1.4724427    0.010030024      3.1260633    0.020448454
            2.2      1.3470007     0.01463042     0.93377255    0.010512847      2.0053918    0.021012043
            2.4     0.86669277   0.0097038374     0.59871291   0.0067964822      1.2956108    0.014331364
            2.6     0.53774691   0.0075867468     0.36955888   0.0053234307     0.80869315    0.011195685
            2.8     0.33083546   0.0058773973     0.22621728   0.0040954517     0.50041104   0.0087366665
              3      0.1971699   0.0050072572     0.13399865   0.0034515839     0.30033023   0.0075361768
            3.2     0.11404969   0.0036097374    0.077088001   0.0024766771     0.17482853   0.0054573495
            3.4    0.065134276   0.0026794918    0.043808875     0.00183629     0.10041721   0.0040612752
            3.6    0.037997241   0.0017589849    0.025498224   0.0011809144    0.058756452    0.002723825
            3.8     0.01835735   0.0013884564    0.012180067   0.0009391057    0.028742397   0.0021353069
              4     0.01835735   0.0013884564    0.012180067   0.0009391057    0.028742397   0.0021353069
