#      etaHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.59216395   0.0064385325     0.41721393   0.0046146913     0.86555276   0.0092638591
           -3.8     0.86214575   0.0078106786      0.6070773   0.0055781363      1.2608534    0.011278713
           -3.6      1.2714801    0.012488902     0.89636382   0.0090585527      1.8570754    0.017749228
           -3.4      1.8162981     0.01383833      1.2810114     0.01004658       2.651366    0.019628328
           -3.2       2.515307    0.015646715        1.77573    0.011162923      3.6674566    0.022610782
             -3      3.4525772    0.016101221      2.4397636    0.011583095      5.0285229    0.023065329
           -2.8      4.6459657    0.018175397      3.2881816    0.013096631      6.7547908    0.025997774
           -2.6      6.0871814    0.022590645      4.3134768    0.016312191      8.8377001    0.032224712
           -2.4      7.7920187    0.025208117      5.5297883    0.018289762      11.294252    0.035761739
           -2.2       9.641053    0.026854788      6.8494921    0.019509299       13.95705    0.038046827
             -2      11.566442    0.031814654      8.2219637    0.023318231      16.733661    0.044655424
           -1.8      13.483716    0.036138072       9.593981    0.026597795      19.487133    0.050501792
           -1.6      15.158558    0.033383671      10.792426    0.024321279      21.892503    0.047166267
           -1.4      16.705703     0.03452112      11.897954    0.025367307      24.118349     0.04839071
           -1.2      17.775218    0.037971721      12.663583    0.027850342      25.654227    0.053236375
             -1      18.573838    0.033011813      13.234423    0.023997089      26.803152    0.046742991
           -0.8      18.977989    0.036720147      13.522923     0.02684252      27.385858    0.051697069
           -0.6      19.172019    0.033738206      13.659837     0.02453663      27.668817     0.04775283
           -0.4      19.162532    0.033712816      13.652129    0.024537106      27.657712    0.047682343
           -0.2      19.160978    0.035705343      13.650059    0.026122688      27.657533    0.050235389
              0      19.086799    0.038400432      13.597861    0.028687624      27.549056    0.052933347
            0.2      19.136432    0.033982147      13.636323    0.024735135      27.614027     0.04806676
            0.4      19.085356    0.036015651      13.600247    0.026529443      27.539151    0.050321245
            0.6       18.82578    0.033530615      13.412909    0.024408126      27.169178    0.047413928
            0.8      18.429346     0.03348466      13.132601    0.024334871      26.592119    0.047427062
              1      17.572263    0.034315776      12.519909    0.024938488      25.359189    0.048606396
            1.2      16.496216     0.03149559      11.751524     0.02284844      23.810055    0.044692537
            1.4       14.91437    0.035802849      10.615649    0.026001111      21.546161    0.050772392
            1.6      13.268447    0.030426781      9.4418215    0.022120224      19.174186    0.043099379
            1.8      11.407763    0.027739132      8.1124836    0.020109012      16.496814    0.039395958
              2      9.4921069    0.024803939      6.7421742     0.01790269        13.7446    0.035385981
            2.2      7.6105105    0.035063663       5.399147    0.025463181      11.035097    0.049715466
            2.4      5.9662447    0.026550113      4.2273129    0.019113172      8.6630942    0.037974832
            2.6      4.5828275       0.019566       3.243809    0.014069692      6.6622324    0.028037543
            2.8      3.3719738      0.0159427      2.3828023    0.011494234      4.9110346    0.022782858
              3      2.4777711    0.014560214      1.7494763    0.010472858      3.6121995    0.020861354
            3.2      1.7624359    0.011383495      1.2431111    0.008175775      2.5725342    0.016341996
            3.4      1.2563109    0.011060344     0.88543103   0.0079606064      1.8354685    0.015852695
            3.6     0.85746313   0.0080189911     0.60384281   0.0057564809      1.2538062    0.011513945
            3.8     0.59942857   0.0066081308     0.42206174   0.0047124972      0.8767454   0.0095576393
              4     0.59942857   0.0066081308     0.42206174   0.0047124972      0.8767454   0.0095576393
