#          ytop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4 -0.00070857667  0.00066019775  -0.0016842033    0.001177152 -0.00029841797  0.00043239804
           -3.8     0.00758818   0.0021112971   0.0061732806   0.0015046155   0.0097712133   0.0033553207
           -3.6    0.074990737   0.0052110537    0.059572289   0.0041936317    0.098677669   0.0082030925
           -3.4     0.31757211    0.010427541     0.25357967   0.0079525388     0.40914087    0.015877869
           -3.2      1.0376651    0.016733878     0.83293943    0.012836437      1.3263963    0.025315595
             -3      2.5725163    0.027547458      2.0840889    0.024537654      3.2362557    0.039305695
           -2.8       5.340479    0.037411633      4.3405583    0.028652777      6.6886462    0.055973455
           -2.6      9.7083886    0.051011138       7.986145    0.041210802      11.918199     0.07370228
           -2.4      16.308049    0.065366831      13.440524    0.050464224      20.004154     0.09715444
           -2.2      24.494803    0.079659684      20.291832    0.061936085      29.789004     0.11573223
             -2      35.295058    0.095906436      29.390202    0.077833705      42.574067     0.13677259
           -1.8       47.34588     0.11073228      39.525483    0.088030586      56.846922     0.15844687
           -1.6      60.457117     0.12465301      50.612016    0.099677433      72.214251     0.17730645
           -1.4      74.717725     0.13837417      62.654166     0.11132917      89.017741     0.19583226
           -1.2      88.514804     0.15156213      74.312755     0.12391969       105.1724      0.2126598
             -1       101.7457      0.1611463      85.407328     0.12998969      120.90575     0.22742414
           -0.8      113.90553      0.1704042      95.687578     0.13991951      135.16311     0.24020849
           -0.6       123.2313     0.17634357      103.58242     0.14246977      146.01995      0.2492653
           -0.4      129.71067     0.18071592      109.02854     0.14562799       153.6837     0.25598839
           -0.2      132.81751     0.18337476      111.62581     0.14844623       157.4387     0.25870142
              0      133.13184     0.18406218      111.91133     0.15021084      157.73095     0.25876588
            0.2      129.30154     0.18075018      108.62271     0.14478367      153.32165      0.2563616
            0.4      122.88506     0.17663666      103.18705     0.14194984      145.94138     0.24983988
            0.6      113.35759     0.17029365      95.227707     0.13734692      134.46747     0.24149573
            0.8      102.08515     0.16227374      85.712816     0.13170048      121.32058     0.23109431
              1      88.721827      0.1531145      74.432455     0.12643399      105.57156     0.21730281
            1.2      74.576826     0.13994085      62.516386     0.11326397      88.870665     0.20014859
            1.4      60.732389      0.1281909      50.860082     0.10404422       72.53267     0.18386028
            1.6      47.533092     0.11319443      39.681992    0.092133214      57.058947     0.16358216
            1.8      34.941971    0.096965161      29.101565     0.07717494      42.102775     0.14131471
              2      24.523499    0.081240142      20.347143     0.06434128      29.731688     0.11909069
            2.2        15.9975    0.065599421      13.226683    0.050803003      19.492455    0.097222278
            2.4      9.7657582    0.051577072      8.0209287    0.040086167      12.017795    0.077140414
            2.6      5.3047025    0.038150381      4.3387634    0.029405093      6.5752138    0.057785184
            2.8      2.5657731    0.027455882      2.0717417    0.021585236      3.2513241    0.041733248
              3      1.0193269    0.017294132     0.81788574     0.01281624      1.2968311    0.027165448
            3.2     0.33049078   0.0099962914     0.26240954   0.0074715649     0.42885006    0.015694655
            3.4    0.077849677   0.0050845342    0.059314979   0.0036877823     0.10924364   0.0081269074
            3.6     0.00836735   0.0022585802   0.0069053743   0.0015667189     0.01105065   0.0042078923
            3.8     0.00087413  0.00078501486    0.000666472  0.00054144727   0.0011062567   0.0013286769
              4     0.00087413  0.00078501486    0.000666472  0.00054144727   0.0011062567   0.0013286769
