# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0       2.992966    0.024696281      2.4745071    0.020586265      3.5169985    0.030895227
            0.2      8.8477495    0.042302218      7.2931635    0.034858526      10.456483    0.052208076
            0.4      13.993463    0.053173823      11.541456    0.043756907      16.540236     0.06548203
            0.6       18.81816    0.061790252      15.524051    0.051085825      22.254986    0.076122866
            0.8      23.069946    0.068310489      19.024698    0.056352337      27.325519    0.084594228
              1      27.096267    0.074171655      22.355345    0.061768215      32.103541      0.0924997
            1.2      31.179571    0.079428146      25.704471      0.0658476      37.028256     0.10047661
            1.4      35.827926    0.085529806      29.562084    0.070861174      42.529425     0.10638103
            1.6      41.184977    0.091616471      34.014141    0.076096851      48.860187     0.11566686
            1.8      48.367368    0.099462016      39.960356    0.082068446      57.413146     0.12514115
              2      57.882781     0.10935709      47.897994    0.090517202      68.603137     0.13854327
            2.2      72.424767     0.12302015      60.009529     0.10195502      85.774237     0.15676383
            2.4      95.928682     0.14312068      79.729855     0.11998745      113.23726     0.18553085
            2.6      137.87624     0.17340158      114.93714     0.14310762      162.46289     0.22921961
            2.8      228.40573     0.22926153      191.36874     0.18787284      268.57908     0.31483116
              3      444.35327     0.34375969      375.93452     0.27446473      528.97171     0.51246341
            3.2       254.0362      0.2707935      215.01686     0.21605835      304.69454     0.40875099
            3.4      139.49662     0.20098887      117.70297     0.15771286       167.6777     0.30160182
            3.6      83.915462     0.15537391      70.592739     0.12329138      101.11123     0.23174971
            3.8      52.602432     0.12200779      44.086179    0.095653124      63.623274     0.18074966
              4       34.52439     0.09801348      28.853067    0.076426451      41.883261     0.14504634
            4.2      23.418868    0.082294052      19.565424    0.068741599      28.391891     0.11985867
            4.4      16.190853    0.066960594      13.489864    0.053481989       19.71006    0.098598775
            4.6      11.325708    0.055962697      9.4225981    0.043686092      13.816265    0.082691109
            4.8      8.1595412    0.047198083      6.7790904    0.036489795      9.9884903     0.06993517
              5      8.1595412    0.047198083      6.7790904    0.036489795      9.9884903     0.06993517
