#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      42.274745     0.42773185      42.125474     0.42151972      42.872354     0.45565723
            0.2      42.419474      0.4049658      42.280055     0.40433711      42.685199     0.41713518
            0.4      43.706998     0.40408508      43.542956     0.40302198      43.956566     0.41374681
            0.6       46.89434     0.42461681      46.734652      0.4251049       47.14878     0.42602633
            0.8      50.879064     0.43677594      50.630322     0.43547663      51.186491     0.43927362
              1      56.579477     0.45960079      56.443996     0.46272619      56.900519     0.46149455
            1.2      64.258076     0.49189918       63.94061     0.49457582      64.642263     0.49352545
            1.4      75.033135     0.53185082      74.595868     0.53361889      75.469137     0.53468699
            1.6      91.110889     0.58658702      90.602928      0.5835334      91.606663     0.58958182
            1.8      112.87298     0.65463739      112.19195     0.65198679      113.38677     0.65692847
              2       146.3482      0.7463003      145.39019     0.74955866      146.93383     0.75505402
            2.2      193.44984     0.85894028      192.23324      0.8572775      194.72319      0.8696752
            2.4      259.00444      1.0085595      257.54338      1.0075808      261.66532      1.0262672
            2.6      346.91532      1.1498098      344.53825      1.1395248      351.04299      1.1650301
            2.8      446.91271      1.3137047      444.29198      1.3156739      453.33254      1.3567546
              3      360.74332      1.2039062      358.05763      1.2174059      365.70935      1.2642669
            3.2      360.74332      1.2039062      358.05763      1.2174059      365.70935      1.2642669
