#  R_yHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      20.604291     0.27492345      20.502977     0.27372136      20.885843     0.28014204
            0.2      57.658051     0.46435257      57.418477      0.4626462      58.446637     0.48139218
            0.4      86.178611      0.5706296      85.812817      0.5720421      87.393377     0.59229452
            0.6       104.1669     0.62407567      103.69968     0.62312662       105.5084     0.63633036
            0.8      114.03366     0.65176232      113.53408     0.65231726      115.34105     0.66151121
              1      119.35058     0.67725922       118.6985      0.6745594      120.39849     0.68717514
            1.2      125.31759     0.69012995      124.51195     0.68969613      126.35767     0.70059303
            1.4      130.52712     0.71277886      129.87603     0.70911508      131.73201     0.71948724
            1.6       134.8102     0.72466666      133.94886     0.72572945      135.81455     0.73591293
            1.8      143.17908     0.74192521      142.34252      0.7396644      144.26825     0.75010605
              2      155.14598     0.78179946      154.00421     0.78731549       156.2984     0.79312756
            2.2      169.49124     0.81736293      168.47381     0.81904716      171.02047     0.83444628
            2.4      190.43213     0.87894395      189.17036     0.87443052      192.06087     0.89363958
            2.6      215.00169     0.93879681      213.62174     0.93385165      217.13491     0.95564722
            2.8      240.69002     0.98064993      239.10615     0.97703891      243.00904      1.0050284
              3      236.75718      1.0101306      235.47321      1.0081773      239.85524      1.0471277
            3.2      80.182388     0.57081368      79.839443     0.57240139      81.017183     0.59356605
            3.4      30.323295     0.34974682      30.142773     0.34842498      30.493812     0.35439304
            3.6      13.230582     0.22828016      13.139021     0.22974919      13.350447     0.23111186
            3.8      6.0645513     0.14804036      6.0383487     0.14849048      6.0885036     0.14989245
              4       2.420472    0.093050983      2.4142327    0.092843506      2.4341384    0.093465999
            4.2     0.93793411    0.057016919     0.93294216    0.057373802     0.94495061    0.057550496
            4.4     0.29608523    0.034827825     0.29120241    0.034630647     0.30134955    0.034998276
            4.6     0.20562399    0.032469022       0.200359    0.032008596     0.21519841     0.03347279
            4.8   0.0056528583    0.011116776   0.0046419026    0.010720481   0.0062799604    0.011329439
              5   0.0056528583    0.011116776   0.0046419026    0.010720481   0.0062799604    0.011329439
