#  R_yHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.8976668              0       3.878566              0      3.9167676              0
            0.2       10.65116              0      10.622352              0      10.679968              0
            0.4      15.386785              0      15.356123              0      15.417447              0
            0.6      18.376634              0      18.346057              0      18.407211              0
            0.8      19.997147              0       19.96765              0      20.026644              0
              1      20.934204              0      20.906057              0      20.962351              0
            1.2      21.710419              0      21.682923              0      21.737915              0
            1.4      22.512489              0      22.485408              0       22.53957              0
            1.6      23.626962              0      23.599541              0      23.654383              0
            1.8      25.227525              0      25.199904              0      25.255146              0
              2      27.495238              0      27.466601              0      27.523875              0
            2.2      30.549818              0       30.51936              0      30.580276              0
            2.4      34.428229              0      34.395296              0      34.461162              0
            2.6       38.85802              0      38.822122              0      38.893918              0
            2.8      43.166594              0      43.127083              0      43.206105              0
              3      40.022776              0      39.979224              0      40.066328              0
            3.2      12.353519              0      12.322023              0      12.385015              0
            3.4      4.3970037              0       4.368872              0      4.4251354              0
            3.6      1.8097192              0      1.7903025              0      1.8291359              0
            3.8     0.73951518              0     0.69478602              0     0.78424434              0
              4     0.36114993              0     0.34795565              0     0.37434421              0
            4.2     0.16826299              0       0.158432              0     0.17809398              0
            4.4    0.083259901              0    0.069799326              0    0.096720476              0
            4.6    0.030992984              0    0.024351961              0    0.037634007              0
            4.8    0.010413887              0    0.008099619              0    0.012728155              0
              5    0.010413887              0    0.008099619              0    0.012728155              0
