#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      46.039345     0.34598365      40.687467     0.23980597      52.366292     0.52807751
            0.2      43.967537     0.12945265      39.453658     0.13520323      48.977474     0.18741062
            0.4      45.076716     0.12768688      40.650608     0.12360631      49.715207     0.14511709
            0.6      47.492336     0.12060629      42.910203     0.11552298      52.358526     0.14864812
            0.8       51.36364     0.12897994      46.576435      0.1289349      56.318429     0.15013822
              1      56.863737      0.1349722      51.762801     0.14278349      62.229858     0.16184336
            1.2      64.663354     0.15110511      59.108655     0.15736252      70.395003     0.17461294
            1.4      75.920369     0.15578223      69.691979     0.15692005      82.214517     0.18012422
            1.6      91.464319      0.1660492      84.435019     0.16277189      98.571974     0.19992448
            1.8      113.62671     0.18608925      105.54324     0.19278713      121.71243      0.2299704
              2      145.79603     0.21205841      136.13031     0.21273567      154.94064     0.25074619
            2.2      191.84201     0.24741424       180.0949     0.26531566      202.36539     0.29255765
            2.4      256.41808     0.27813638       242.8019     0.28465935      268.37542     0.33519324
            2.6       343.2321     0.32198499      327.26126     0.33485316      356.51549     0.39439373
            2.8      440.86391      0.3694943      422.62125     0.42535677      455.37393     0.45136737
              3      355.67344     0.34262449      341.70332     0.33367159      366.31745     0.43731967
            3.2      355.67344     0.34262449      341.70332     0.33367159      366.31745     0.43731967
