#       etatbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4       4.227856    0.078208989       3.946145    0.057298174      4.6205362     0.11512516
           -3.8      6.0421147    0.054344687      5.6312881    0.053962764      6.4708303    0.061089039
           -3.6      8.7310318    0.068861366      8.2372144    0.092169794      9.3747386    0.089802119
           -3.4      12.301277    0.070869107      11.464306    0.082795422      13.189193    0.079986543
           -3.2      16.969705    0.075111839      15.757249    0.092319249      18.272601    0.093099765
             -3      22.926131    0.094449502      21.452883    0.092247613      24.572688     0.11701148
           -2.8      30.334641     0.10294422      28.532948     0.14818643      32.425975     0.12369504
           -2.6      39.007881     0.14710098      36.455946     0.13132963      41.332657     0.14683625
           -2.4      48.433249     0.12748037      45.402068     0.12436946      51.470938     0.15464596
           -2.2      58.906778     0.19317251      55.285588     0.16050847       62.60867      0.2848904
             -2      68.905941     0.15567446      64.722073     0.14210817      72.942143     0.19134998
           -1.8      78.307147      0.1616042      73.716272     0.16178038      82.707187     0.19838807
           -1.6      86.806655      0.1768358       81.75656      0.1685025      91.413167     0.21900964
           -1.4      92.674256     0.17165743      87.366623     0.16760317      97.422555     0.21052578
           -1.2      97.698247     0.17379735       92.10818     0.17523676      102.64791      0.2095438
             -1      100.39241     0.17866048       94.70357     0.18019582      105.34622     0.21308425
           -0.8      101.23609     0.17604695      95.548816     0.17423734      106.02756     0.21467501
           -0.6      101.13087     0.17183597      95.436433      0.1656523      105.97653     0.21236367
           -0.4      100.74072     0.17737539      95.080134     0.18215024      105.39809     0.21595125
           -0.2      100.16034     0.17161918       94.57879     0.16694651      104.72515     0.21036389
              0      100.04981     0.18408943      94.518036     0.18268742      104.61896     0.22489145
            0.2      100.77893     0.17590956      95.166837     0.17166488      105.46236     0.21583464
            0.4       101.2269     0.17337665      95.569841     0.16688431      105.89764     0.21327821
            0.6      100.92882     0.17475788      95.207167     0.17082263      105.80767     0.21985627
            0.8      100.45394     0.24411451      94.678265      0.2074439      105.59322     0.35897336
              1      97.649879     0.17580588      92.004448     0.17518536      102.66632      0.2124897
            1.2      93.318477     0.17499295      87.978534     0.18053339      98.141097     0.21378882
            1.4      86.920815     0.17351679      81.789244     0.17057047      91.789573     0.21341558
            1.6      78.453339     0.16150338      73.688102     0.15384926      83.003721     0.20151188
            1.8      68.977444     0.16703341      64.826098     0.16012218       73.00813     0.21101105
              2      58.899274     0.17225039      55.364616     0.15698143      62.589545     0.23068437
            2.2      48.391233     0.13227911      45.393029     0.13740566      51.436733     0.17061632
            2.4      38.926583     0.16200802      36.397415      0.1425024      41.556318      0.2248761
            2.6      30.246515     0.12289334      28.498792     0.18523725      32.177684     0.15490091
            2.8      22.841843    0.095205261      21.393452     0.13410489      24.375533     0.11242314
              3      16.842937    0.082465556      15.803702    0.097781566      17.988114     0.10114592
            3.2      12.395502     0.10772181      11.535852    0.090600011      13.378968     0.13225391
            3.4      8.6912398    0.070033535      8.1638569    0.076794451      9.5274358    0.078018243
            3.6      6.1290165    0.053840821      5.7120028    0.043782007      6.7179904    0.078070222
            3.8       4.191907    0.045987577      3.8204309     0.12711134      4.5440718    0.050002181
              4       4.191907    0.045987577      3.8204309     0.12711134      4.5440718    0.050002181
