#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      8.8001698     0.31957639      7.0550434     0.21003304       11.34307     0.50451743
            0.2      16.726366     0.10039286      14.802081    0.082194037      19.126084     0.17765158
            0.4      25.561676    0.094608997      22.995936     0.08644166      28.263512     0.11313022
            0.6      33.614808     0.10155878      30.443317    0.098029695      36.984214     0.12596642
            0.8      41.471438       0.110656      37.688818     0.10682649      45.384327       0.132693
              1      49.272868     0.12324215       45.01876      0.1370113      53.680135     0.14459456
            1.2      57.287723     0.13331608      52.432566     0.12827621      62.216432     0.16171125
            1.4      67.736605     0.14290095      62.162788     0.15054368      73.254514     0.16999618
            1.6      80.850213      0.1727851      74.612585     0.17664698      87.044224      0.1886349
            1.8      98.434167     0.17124228      91.346342     0.16996738      105.49517     0.20459304
              2      124.32335     0.19970512      115.87059     0.20759513      132.47643     0.23165866
            2.2      160.27981     0.22432686      150.37751     0.21311144      169.30764     0.26626352
            2.4      212.40812      0.2575171      200.66461     0.29027332      222.59588     0.30544497
            2.6      285.52267     0.29356632      271.78628     0.30690848      296.93716     0.35872994
            2.8      376.01151     0.34241039      360.32436     0.38009618      388.22429     0.41541205
              3      416.24635      0.3624216      399.45023     0.35358194       429.1622     0.46181557
            3.2      167.42561     0.24066886      158.75116      0.2765677      174.82591     0.28666432
            3.4      73.574006     0.15345439      68.461992     0.15133819      78.687186     0.18980771
            3.6      35.557472     0.10820731      32.583165     0.10708892      38.886276     0.14247496
            3.8      18.081994    0.076868281      16.244576     0.07209706      20.215363    0.091765291
              4      9.5913777     0.06407775      8.5040217    0.062202275      10.962337    0.072584975
            4.2      5.2748546     0.05044594       4.583018     0.05006189      6.1290261    0.053340688
            4.4      2.9029413    0.037926382       2.495721    0.036262027      3.4209015    0.040972806
            4.6      1.5618874    0.028637959      1.3141666    0.027019957      1.8929119    0.031113044
            4.8     0.86068337    0.023319992     0.71665731    0.022740028      1.0413251    0.026637048
              5     0.86068337    0.023319992     0.71665731    0.022740028      1.0413251    0.026637048
