# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0      3.2721243    0.026462075      2.7840481    0.023020477      3.7461961    0.032105982
            0.2      9.8027708    0.098260269       8.261454    0.039617461      11.292935     0.15072498
            0.4      15.421977    0.058633843      13.165986    0.051269157      17.634015    0.069572889
            0.6      20.805657    0.068654265      17.784094    0.059531381      23.797785    0.082620088
            0.8      25.748082    0.075513862       22.08707    0.066706613      29.395481    0.089191891
              1       30.43537    0.085646741       26.24559    0.077610549      34.557079      0.1022611
            1.2      35.428299    0.091244782      30.641795    0.080733628      40.198435     0.10949528
            1.4      40.964034    0.097499629      35.674847    0.087901163      46.161491     0.11619458
            1.6      47.916241     0.11718105      42.044921     0.10317635      53.625611      0.1514129
            1.8      56.692297     0.17305222      50.219152     0.13334369      62.842881     0.25571458
              2      69.361588     0.13471612      62.105453     0.12345527      76.022881     0.15943245
            2.2      88.260377     0.16047647      80.033449     0.15531757      95.345128     0.18762965
            2.4      119.18869     0.19759988      109.60041     0.17960529      126.82752     0.24498324
            2.6      173.61695     0.23408895      162.07153     0.22393245      181.95267     0.26575042
            2.8      289.47283     0.36003019      274.60808     0.33534093      299.37508     0.44224168
              3      545.29091     0.43376237      526.20068     0.47276831       563.5388     0.54218451
            3.2      309.99006     0.34462122      299.71578      0.3882381      322.71494      0.4568146
            3.4      171.99053     0.26769877      165.59559     0.26246942      178.84779     0.33201629
            3.6      103.97026     0.20154578      99.778231     0.19675684      108.73806     0.24943079
            3.8      65.684851      0.1540458      62.943196     0.16847401      68.581493     0.19139295
              4      43.532585     0.12537814         41.576     0.12823202       45.62521     0.15052841
            4.2      29.558914     0.10026307      28.113755     0.10365107      31.076489     0.12502139
            4.4      20.338185    0.081669634      19.382547    0.079576124      21.321432     0.10337568
            4.6      14.489456     0.06981668      13.759387    0.069272148      15.271277    0.085691913
            4.8      10.359061    0.059157541      9.8395281    0.056844199      10.933922    0.073002211
              5      10.359061    0.059157541      9.8395281    0.056844199      10.933922    0.073002211
