#   R_yHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       20.72454    0.070412089      18.661622    0.063418663      22.346086    0.077620104
            0.2      57.688918     0.11637005       51.95618     0.10492744      62.198055     0.12862962
            0.4      84.774155       0.140062      76.390372     0.12633463      91.346775     0.15426061
            0.6       102.2382     0.15305223      92.112788      0.1382998      110.21513      0.1692325
            0.8      112.41529     0.16006175      101.31529      0.1445639      121.15642     0.17614383
              1       117.9908     0.16370827       106.3417     0.14779864      127.18411     0.17968072
            1.2      122.02304     0.16630949      110.01689     0.15026375      131.47651     0.18287503
            1.4      125.70286     0.16862236       113.2663     0.15224258      135.58219     0.18513933
            1.6      131.15896     0.17203794      118.17302     0.15538739      141.51257     0.18901117
            1.8      138.37584     0.17645227      124.74267     0.15973349      149.20609     0.19510458
              2      148.24494     0.18221511      133.64215     0.16474974       159.8897     0.20062947
            2.2      161.88028     0.18980526      145.90803     0.17140875      174.67833     0.20837955
            2.4      180.03691     0.19933972      162.33322     0.18011057      194.21924     0.21892803
            2.6       201.8273     0.20997447      182.09409     0.19002176      217.55355     0.23094349
            2.8      225.70889     0.22090877      203.76119     0.19976625      243.06755     0.24247068
              3      219.67268     0.21841377      198.42083     0.19826041      236.23608     0.24239536
            3.2      74.718257     0.13232538      66.894736     0.11862478       81.08502     0.14804591
            3.4      29.245403     0.08425212      25.890073    0.074692577      32.123444    0.096633686
            3.6       13.08897    0.057044258      11.454341    0.049702126      14.564333    0.066031818
            3.8      6.1988808    0.039659409      5.3624969     0.03409177      6.9905761    0.046704957
              4      2.8552111    0.027079592      2.4454851    0.023015503      3.2565419    0.032177455
            4.2       1.383216    0.019124761      1.1699781    0.016016339      1.5998648    0.023111147
            4.4     0.63501102    0.013034802      0.5358735    0.010875597     0.73393339     0.01603369
            4.6     0.31917073   0.0094407358     0.26419536   0.0076920641     0.37880172    0.011862743
            4.8     0.12063249   0.0056063149    0.099006611   0.0045668922     0.14444523   0.0069969985
              5     0.12063249   0.0056063149    0.099006611   0.0045668922     0.14444523   0.0069969985
