# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.712311    0.057449763      12.363945    0.051753502      14.732291    0.063312262
            0.2      38.927379    0.096112426      35.102858    0.086686842      41.832332     0.10616762
            0.4      59.632313     0.11821299      53.747829     0.10655342      64.163603     0.12984741
            0.6        75.6646     0.13255642      68.211863     0.11973243      81.422082     0.14652914
            0.8      87.985952     0.14246336       79.31113     0.12872692      94.733638      0.1570953
              1      97.887452     0.14985929       88.25003     0.13538991      105.41206     0.16479855
            1.2       105.9266     0.15554378      95.531351     0.14054761      114.05757     0.17083306
            1.4      113.91472     0.16098379      102.72101      0.1455624      122.72158     0.17707087
            1.6       122.5602     0.16661552       110.5364     0.15063559      132.03886     0.18292015
            1.8      132.35299     0.17275323      119.38488     0.15639503      142.60109     0.19032202
              2      143.88844     0.17964332      129.83368     0.16252074       154.9961     0.19725888
            2.2      158.45708      0.1878839      142.99576     0.17009691      170.69856     0.20654423
            2.4      177.32966     0.19789085      160.05957     0.17896311      191.02041     0.21681534
            2.6      199.42013     0.20878233      180.06802     0.18904101      214.72425     0.22921032
            2.8      224.46341     0.22024132      202.76782     0.19938446      241.52071     0.24150066
              3      225.97073     0.22104472      204.22688     0.20049336      242.87505     0.24400043
            3.2      112.02393     0.16008898      100.66694     0.14457182      121.23414     0.17901588
            3.4      63.741031     0.12235316      56.970802     0.10957013      69.436093     0.13702979
            3.6      40.420766    0.098149847       35.94474    0.087260337      44.320297     0.11013182
            3.8      26.597408    0.080047196      23.554208    0.070816668      29.314425    0.090311756
              4      17.941477    0.066049326      15.835488     0.05826004      19.856053    0.075254915
            4.2      12.288402      0.0547991      10.812534    0.048130571      13.654135    0.062497249
            4.4      8.5275197    0.045816429      7.4756927    0.040067476      9.5186881    0.052456103
            4.6      5.8343719    0.037891484      5.1050539    0.033100749      6.5295097    0.043453132
            4.8      4.1146038    0.031891841      3.5855238    0.027739961      4.6316157    0.036658125
              5      4.1146038    0.031891841      3.5855238    0.027739961      4.6316157    0.036658125
