#        etatop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4       4.239594    0.032050873      3.7908299    0.028675895      4.6364722    0.035754771
           -3.8      6.0760896     0.03830929      5.4310001     0.03427873      6.6505241    0.042782648
           -3.6      8.6433615    0.045662267      7.7247114     0.04083224      9.4594799    0.050824351
           -3.4      12.167398    0.054048374      10.880175    0.048387822      13.299817    0.060154207
           -3.2      16.895178    0.063616103      15.107384    0.056938453      18.469795    0.070826384
             -3      22.615621    0.073463704      20.260827    0.066809879      24.649692    0.084992406
           -2.8      29.731136    0.084095269      26.632934    0.075419643      32.405594    0.093325148
           -2.6      38.003457    0.094832407      34.077226    0.085226759      41.362032     0.10517102
           -2.4      47.080785     0.10530121      42.257483    0.094780497      51.158503     0.11688195
           -2.2      56.636269     0.11515408      50.897681     0.10374464      61.417915     0.12744968
             -2      66.162892     0.12416695      59.490895     0.11177868      71.671966     0.13671153
           -1.8      75.331395     0.13218156      67.803984     0.11916435      81.464504     0.14555101
           -1.6      83.126503     0.13859054      74.868869     0.12511232      89.771098     0.15264561
           -1.4      89.099638      0.1432562      80.321441     0.12935315      96.047918     0.15729089
           -1.2      93.709944     0.14678138       84.53362     0.13262075      100.87914     0.16113839
             -1      95.752028     0.14828709      86.417636     0.13406744      102.95742      0.1627569
           -0.8      96.839855     0.14909165      87.456368     0.13482832      103.99133     0.16332639
           -0.6      96.507046     0.14884324      87.184235     0.13475338      103.54967     0.16315066
           -0.4      96.256218     0.14866027      86.999992     0.13522565      103.17861     0.16518555
           -0.2      95.460912     0.14807755      86.299043     0.13405639      102.28516     0.16211296
              0      95.749635     0.14827599      86.525182     0.13419554      102.65677     0.16233572
            0.2      96.019463     0.14849068      86.778935     0.13440671      102.94548     0.16253698
            0.4      96.791631     0.14905423      87.445069     0.13479646       103.8509     0.16318007
            0.6      96.739303     0.14899765      87.344221     0.13494751      103.92479     0.16376431
            0.8      95.935908     0.14841896       86.60494     0.13421033      103.11454     0.16281842
              1      93.165935     0.14637386      84.077262     0.13287797      100.22112     0.16243392
            1.2      88.905138     0.14311037      80.127875     0.12912743      95.871644     0.15694668
            1.4      83.313299     0.13874692      75.046416     0.12511539      89.958013     0.15223391
            1.6      75.253398     0.13211413      67.748625     0.11917707      81.342729     0.14556355
            1.8      66.354865     0.12436514       59.67689     0.11199482      71.858571     0.13717566
              2       56.55604     0.11512074      50.818288     0.10368926      61.343887     0.12758919
            2.2      47.083673     0.10527812      42.249336    0.094724202       51.17983      0.1167024
            2.4      37.997532    0.094851415      34.075594    0.085165765      41.347959     0.10501224
            2.6      29.641319    0.083933121      26.559743    0.075478568      32.302498    0.093711319
            2.8      22.856448    0.073892966      20.454309     0.06652953      24.953393     0.08348106
              3      16.853522     0.06355546      15.067688    0.057098686      18.426657    0.071443605
            3.2      12.313466    0.054376835      11.007121    0.048701528      13.464713    0.060981815
            3.4      8.8045924    0.046122911      7.8524525    0.041171849      9.6622147    0.051447065
            3.6      6.0708393    0.038317407      5.4185148    0.034220862      6.6560523    0.042727336
            3.8      4.3019399    0.032286333      3.8424573     0.02885817      4.7112039    0.036276706
              4      4.3019399    0.032286333      3.8424573     0.02885817      4.7112039    0.036276706
