# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0       4.051331    0.031065198      3.6049914      0.0277084      4.4583819    0.034508332
            0.2      11.957111    0.053299395      10.640355    0.047504713      13.150133    0.059225511
            0.4      18.977547    0.067048511      16.897953    0.059790568      20.847453    0.074453693
            0.6      25.075149    0.076991403      22.307873    0.068569715      27.573433    0.085608394
            0.8      30.431483     0.08471963      27.074332    0.075472543      33.448429    0.094052207
              1      35.460613    0.091368199      31.563192    0.081479617      38.936923     0.10170197
            1.2      40.640016    0.097698825      36.163711    0.087086283      44.624639       0.108707
            1.4      46.005748     0.10385522      40.955451      0.0926729      50.472189     0.11572978
            1.6      52.522152     0.11080094      46.770579    0.098937412      57.579303     0.12353957
            1.8       60.85414      0.1190382      54.205138     0.10633882      66.677218     0.13258658
              2      72.737511     0.12983525      64.828458     0.11592727       79.61138      0.1443078
            2.2      90.194817      0.1440216      80.484314     0.12901737      98.540471     0.16067431
            2.4      117.77431     0.16358962      105.27841     0.14703918      128.33258     0.18358336
            2.6      166.91411     0.19253393      149.42104     0.17264949      181.53526     0.21297508
            2.8      270.28879     0.23899728      242.89836     0.21521201      292.51954     0.26361154
              3      501.26436      0.3065325      455.23729     0.27934453      535.43559      0.3365135
            3.2      283.80913     0.24440539      258.15334     0.22293472      302.43673     0.26731584
            3.4      157.99301     0.18819682      143.42857     0.17107165      168.62664     0.20604141
            3.6      95.687214      0.1487525       86.65141     0.13506607      102.36342     0.16414521
            3.8      60.781678     0.11960195      54.888647     0.10805156       65.22525     0.13208821
              4      40.121178     0.09775774      36.153203    0.088046155      43.145332     0.10822596
            4.2      27.113366    0.080549086      24.382718    0.072541576      29.225655    0.089570943
            4.4      18.929458     0.06744963      16.997013    0.060601112      20.435054    0.075154053
            4.6      13.434257    0.056934288      12.039136    0.050975807       14.53745    0.063298079
            4.8      9.6449195    0.048395131      8.6329122    0.043223331      10.451032    0.053926242
              5      9.6449195    0.048395131      8.6329122    0.043223331      10.451032    0.053926242
