#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      119.34468     0.18370962      102.59973     0.15501292      158.63819     0.24628709
            0.2      118.25074     0.18252627      101.70236     0.15429738      157.13417     0.24473869
            0.4      116.86076     0.18116943      100.54928     0.15332798      155.16516     0.24267121
            0.6      115.72324     0.18025706      99.550157     0.15243292      153.63219     0.24128841
            0.8       116.0911     0.18072996      99.857566     0.15266739      154.03622     0.24175473
              1      117.81079     0.18166567      101.38757     0.16502659      156.18137     0.24968208
            1.2      120.69056     0.18390131      103.87616     0.15571915      159.92478     0.24582764
            1.4      126.25143     0.18807687      108.65409     0.15923227      167.19404     0.25138953
            1.6      134.21913     0.19385007      115.52109     0.16379759      177.60552     0.25868736
            1.8      145.14625     0.20134662      124.93049     0.17021679       191.9024     0.26854814
              2       159.6105     0.21104779      137.40905      0.1791543      210.84011     0.28196556
            2.2      178.02913     0.22262421      153.29751     0.18858674      234.92376     0.29690579
            2.4      200.57584     0.23609464      172.74085     0.19926834      264.41731     0.31436908
            2.6      227.48791     0.25078646       195.9729     0.21155187      299.50127     0.33368345
            2.8      254.74553     0.26530477      219.47945     0.22374731      335.05654     0.35291013
              3      191.87541     0.23291724      165.36873     0.19658026      252.21169     0.30975054
            3.2      191.87541     0.23291724      165.36873     0.19658026      252.21169     0.30975054
