#          ytop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0029872395  0.00086229864   0.0022867187  0.00066299822   0.0041569878   0.0012059117
           -3.8    0.042425376   0.0032735287    0.033802969   0.0026159851    0.057124353   0.0044425996
           -3.6     0.19559565   0.0072398077     0.15925073   0.0058298758     0.25924701    0.009828187
           -3.4     0.73287585    0.013785309     0.60734771    0.011379873     0.95919096    0.018369259
           -3.2      2.0221774    0.022874187      1.6957338    0.019077657      2.6280152    0.030251658
             -3      4.6343657    0.034705957      3.9173249    0.029277305       6.003357    0.045803881
           -2.8      9.0554054    0.048349499        7.71806    0.041772514      11.696921    0.063689856
           -2.6      15.830666    0.063629252      13.530304    0.054308321      20.474228    0.083214813
           -2.4       25.07893    0.079877408      21.488651    0.068688646      32.492798     0.10485738
           -2.2      36.782409    0.096506749      31.540884    0.082516306      47.824243     0.12645141
             -2      50.922493     0.11334946       43.71681    0.097042968      66.392406     0.14891984
           -1.8      66.614833      0.1293474      57.187123     0.11089056      87.152528     0.17046355
           -1.6      83.302957     0.14464625       71.52804     0.12386153      109.29981     0.19110201
           -1.4      101.03855     0.16020476      86.748144     0.13773237      132.95618     0.21289048
           -1.2      117.84388     0.17222301       101.1146     0.14763496      155.50325     0.22909239
             -1      133.23213     0.18301456       114.2653     0.15611766      176.21652     0.24355065
           -0.8      146.40192     0.19227421       125.5422     0.16374633      193.96377     0.25627065
           -0.6      157.07803     0.19989895      134.67462     0.17017187      208.39256      0.2668621
           -0.4      164.47119     0.20564634      141.01945     0.17473312      218.40317     0.27476405
           -0.2      167.55357     0.20905781      143.70929     0.17749494      222.61142     0.27958522
              0      167.10411     0.21053702      143.32815     0.17856751       222.0547     0.28172776
            0.2      162.04381     0.20974776      139.06111     0.17732666      215.30832     0.28049477
            0.4      153.05775     0.20659203      131.43157     0.17426348      203.29787     0.27619085
            0.6      140.92652     0.20131151      121.16883     0.16992901      187.03345     0.26920099
            0.8      125.36423     0.19371391      107.95249     0.16268875      166.19486     0.25879681
              1      107.94656     0.18396667      93.203037     0.16560611      142.87254     0.25251348
            1.2      89.436086     0.17255529      77.430508     0.14438797       118.2047     0.23058342
            1.4      71.032114     0.15850494      61.714879     0.13204957      93.708556     0.21180734
            1.6       53.11189     0.14303801      46.437782     0.11868698       69.82334      0.1912123
            1.8      37.542943      0.1262451      33.094585     0.10423367      49.174146     0.16909903
              2      24.674786      0.1086254      22.030227    0.089521311      32.147424     0.14591876
            2.2      14.942107    0.090376859      13.519816    0.073690222      19.355138     0.12179981
            2.4      7.7486067    0.072503296      7.2254035    0.059600015       9.904172    0.098619362
            2.6      3.4877638    0.055560463      3.3892245    0.044340883      4.3814531    0.072435849
            2.8      1.2127981    0.040083393      1.1696128    0.042428989      1.4995563    0.052431939
              3     0.27688145    0.026819005     0.23971892    0.028601903     0.36876387    0.020821548
            3.2   0.0051064971    0.015854971    -0.02472355    0.022490182    0.053727747    0.012033977
            3.4   -0.021213732   0.0081221833   -0.039199084    0.011667617  -0.0030698956    0.006079711
            3.6   -0.014765967     0.00342814   -0.023585976   0.0050403966   -0.008353954   0.0024921183
            3.8  -0.0024893662   0.0012194744  -0.0039928776   0.0018817055  -0.0014514149  0.00083712696
              4  -0.0024893662   0.0012194744  -0.0039928776   0.0018817055  -0.0014514149  0.00083712696
