# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      120.13352     0.18392467       103.3279     0.15535368      159.65096     0.24650899
            0.2      119.14365     0.18396001      102.45486     0.15509142      158.32051     0.24651547
            0.4      117.43927     0.18191753      101.01815     0.15371995      155.99121     0.24366681
            0.6      116.76593      0.1809938      100.42304     0.15296811      155.02392     0.24229919
            0.8      116.24711     0.18055507      99.999301     0.15252694      154.24986     0.24146392
              1      118.00993     0.18184865      101.51618     0.15366321      156.48609     0.24307507
            1.2      121.21938       0.184438      104.32683     0.15594291      160.64573     0.24650864
            1.4      126.74982     0.18833135      109.04589     0.15909772       167.8817     0.25146043
            1.6      134.58528     0.19400984      115.85641     0.16453218      178.08322     0.25921679
            1.8      144.82469     0.20135295      124.70129     0.17090554      191.44707     0.26890255
              2      159.37093      0.2109423      137.29145     0.18824925      210.44751     0.28709421
            2.2       176.8777     0.22214349      152.31113     0.18801649      233.39031     0.29627457
            2.4      200.01576     0.23572469      172.20624     0.19903797      263.68472      0.3138681
            2.6      226.86384     0.25039429      195.40093     0.21128591      298.64512     0.33312486
            2.8        253.525     0.26448382      218.47022     0.22321394      333.44678     0.35193114
              3      190.94117     0.23213028      164.54717     0.19631586      250.96999     0.30904941
            3.2      190.94117     0.23213028      164.54717     0.19631586      250.96999     0.30904941
