# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      108.36014     0.14266589       93.04576     0.12210089      144.15748     0.19015338
            0.2      107.28286     0.14194646      92.133245     0.12151256      142.68375     0.18929353
            0.4      106.03077     0.14102563      91.050986     0.12079965      140.96567     0.18769327
            0.6      105.04035     0.14041365       90.21339     0.12031985      139.59986      0.1868026
            0.8      105.26267     0.14048773      90.411709     0.12047586      139.80169     0.18670783
              1      106.67661     0.14174828      91.643838     0.12127825      141.61463     0.18839045
            1.2      109.79211      0.1434624       94.33917     0.12302154      145.64259     0.19048076
            1.4      114.61285     0.14691238      98.507274     0.12569792      151.90954     0.19478585
            1.6      121.52757     0.15062041      104.42115     0.12929037      160.98594     0.19947046
            1.8      131.38791     0.15700523      112.94396      0.1343649      173.86606     0.20834747
              2      144.49109     0.16375885      124.20796     0.14055658       191.0424     0.21677888
            2.2      161.00378     0.17230489      138.39832     0.14799496      212.68676     0.22750177
            2.4      182.07638     0.18272471      156.57295     0.15697719      240.22899     0.24115436
            2.6      206.59691     0.19368212      177.66919     0.16643935       272.2924     0.25528771
            2.8      230.77638     0.22141461      198.58109     0.17541538      303.78325      0.3239581
              3      173.45885     0.17931014      149.22124     0.15405045      228.26289     0.23596448
            3.2      173.45885     0.17931014      149.22124     0.15405045      228.26289     0.23596448
