# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0      3.5663149    0.026217445      3.0700465    0.022564236      4.7510083    0.034922388
            0.2      10.316181    0.044571896      8.8795729    0.038346875      13.741806    0.059407996
            0.4      16.575892    0.056387527      14.259989     0.04847049      22.096935    0.075194254
            0.6      21.930398    0.065467149      18.858197    0.055662089      29.255693    0.087468629
            0.8      26.903934    0.071640497      23.105444    0.061485604      35.913521    0.095661349
              1      31.511868     0.07747698      27.041829    0.066407352      42.102459     0.10353921
            1.2      35.887239    0.082585876      30.796896    0.070758989       47.95246     0.11041319
            1.4      41.045952    0.088149795      35.196437    0.075517854       54.87477      0.1178753
            1.6      47.021383    0.094238519      40.316772     0.08068553      62.861249      0.1260842
            1.8      54.669385     0.10200317      46.876347    0.086837895      73.086474     0.13643088
              2      65.544642     0.11074199      56.211656    0.094833981       87.60031     0.14813361
            2.2       82.24731     0.12356942      70.567363     0.10590951      109.84151      0.1652499
            2.4       108.6528     0.14122671      93.272381     0.12109311      144.92983      0.1884371
            2.6      157.38836     0.16824618      135.23858      0.1443333      209.53416     0.22407334
            2.8      263.30047     0.21280916      226.61757      0.1829052      349.02519     0.28205039
              3      506.24919      0.2814197      437.57311     0.24275771      662.21615     0.36839481
            3.2      286.52128     0.22522311      247.43563     0.19422982      374.64781     0.29461049
            3.4       158.8342      0.1933771      136.62197     0.14864532      208.90911     0.29122391
            3.6      96.280506     0.13690821      82.395212      0.1168585      127.46488     0.18160429
            3.8      61.504633     0.11057793      52.382658    0.093782344      81.931462     0.14758031
              4      40.510735    0.090337982      34.366914     0.07644798      54.226894     0.12112525
            4.2      27.532725    0.074635773      23.276887    0.062900849      37.013275     0.10059368
            4.4      19.316206    0.062697685      16.278446    0.052637012       26.07969    0.084825878
            4.6      13.654819    0.052766759      11.477554    0.044210488      18.490554    0.071608734
            4.8      9.8877401    0.045040497      8.2875085    0.037647262      13.428077    0.061276852
              5      9.8877401    0.045040497      8.2875085    0.037647262      13.428077    0.061276852
