#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.973971    0.020330368      13.442335    0.019762011      14.505608    0.021012225
            0.2      13.742219     0.02012247      13.202947    0.019542103       14.28149    0.020811501
            0.4      13.490802    0.020104769      12.924535    0.019385315       14.05707    0.021144094
            0.6      13.232804    0.019834678      12.631466    0.019304467      13.834142    0.020555062
            0.8      13.130944    0.019794844      12.479964    0.019135069      13.781924    0.020701099
              1      13.200475    0.019479871      12.486873    0.018804975      13.914077    0.020341923
            1.2      13.475038    0.019546337      12.678987    0.018758886       14.27109    0.020539559
            1.4      14.004839    0.020166289       13.09734    0.019373514      14.912336    0.021174458
            1.6      14.785743     0.02048344      13.739511    0.019748765      15.831975    0.021518546
            1.8      15.939652    0.021447158       14.70454    0.020759807      17.174764    0.022537892
              2      17.465849    0.022470224      15.988012     0.02181391      18.943686    0.023729146
            2.2      19.585225    0.024255995      17.819755    0.024007457      21.350695    0.025227935
            2.4      22.251234    0.026377821      20.117437    0.026130701      24.385032    0.027418446
            2.6      25.736777    0.028460195       23.18377    0.028696969      28.289784    0.029229733
            2.8      29.598798    0.030968674      26.620927    0.031610206      32.576668    0.031497193
              3      22.887049    0.027927426      20.606175    0.029588927      25.167923    0.029190887
            3.2      22.887049    0.027927426      20.606175    0.029588927      25.167923    0.029190887
