# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0              0              0              0              0              0              0
            0.2              0              0              0              0              0              0
            0.4              0              0              0              0              0              0
            0.6              0              0              0              0              0              0
            0.8              0              0              0              0              0              0
              1              0              0              0              0              0              0
            1.2              0              0              0              0              0              0
            1.4              0              0              0              0              0              0
            1.6              0              0              0              0              0              0
            1.8              0              0              0              0              0              0
              2              0              0              0              0              0              0
            2.2              0              0              0              0              0              0
            2.4              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
              3      109.98139    0.055858917      109.98139    0.055858917      109.98139    0.055858917
            3.2      118.90253    0.057387646      118.90253    0.057387646      118.90253    0.057387646
            3.4      59.694453    0.044183626      59.694453    0.044183626      59.694453    0.044183626
            3.6      34.270066    0.034499173      34.270066    0.034499173      34.270066    0.034499173
            3.8      20.651501    0.027184362      20.651501    0.027184362      20.651501    0.027184362
              4      13.021591    0.021778935      13.021591    0.021778935      13.021591    0.021778935
            4.2      8.5772723    0.017771836      8.5772723    0.017771836      8.5772723    0.017771836
            4.4      5.8572465    0.014768464      5.8572465    0.014768464      5.8572465    0.014768464
            4.6      4.1115961    0.012416855      4.1115961    0.012416855      4.1115961    0.012416855
            4.8       2.977564    0.010589567       2.977564    0.010589567       2.977564    0.010589567
              5       2.977564    0.010589567       2.977564    0.010589567       2.977564    0.010589567
