# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0      3.1662102    0.076458817      2.6553508    0.064405238      3.6666854    0.090341415
            0.2      9.3001414     0.13155699      7.8404623     0.11136677      10.777822      0.1569465
            0.4      15.432179     0.17050806      13.070989     0.14574338      17.828896     0.20151656
            0.6      20.333257     0.19657396      17.281462     0.16865354      23.380875      0.2335741
            0.8      26.001231     0.22245582      22.177219      0.1917657       29.82905     0.26256587
              1      30.004651     0.24095151      25.777348       0.209513      34.147387     0.28328339
            1.2      35.428806     0.26173719      30.434782     0.22738776      40.428598     0.30867444
            1.4      40.943563     0.28447935      35.503975     0.24972218      46.290084     0.33304272
            1.6      48.752385     0.31323882      42.534097     0.27714703      54.797653      0.3633446
            1.8      56.884101     0.33918154      49.970334     0.30277421      63.642142      0.3937261
              2      69.806538     0.38251514      62.005964     0.34625217      76.973306     0.44164687
            2.2      89.315478     0.44072584       80.38311     0.40315205      97.153743       0.505033
            2.4      120.68185     0.51876575      110.08448     0.48200919      129.66007     0.59467829
            2.6      178.05961     0.64912661      164.88427     0.60516853      188.42201      0.7472534
            2.8      295.73317      0.8513494      277.37456      0.7971438      310.04178      1.0101158
              3      557.97306      1.2373896      532.17411      1.1747319      585.70582      1.5643649
            3.2      318.38902     0.97398652      303.51287     0.91141118      337.66245      1.2557219
            3.4       176.0649     0.71076077       167.2559     0.65904411      187.20326     0.91506727
            3.6      106.22297     0.55685679      100.65315     0.51731171      112.72661     0.70631421
            3.8      66.982886     0.43296899      63.190328     0.39513398      71.320712      0.5539602
              4      44.559961     0.34804594      41.828353     0.31562037      47.846122     0.44626149
            4.2      29.899237       0.285592      27.903893      0.2566855      32.182507     0.36527526
            4.4       20.75668     0.23769764      19.289516     0.21296497      22.385107     0.30456961
            4.6      14.745418     0.19763369      13.642363     0.17437471      16.039734     0.25474829
            4.8      10.658966     0.16834763      9.8615187     0.14840479      11.665908     0.21861253
              5      10.658966     0.16834763      9.8615187     0.14840479      11.665908     0.21861253
