#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      5.4946828     0.14295353      4.7228659     0.11845332      6.4222882     0.18331857
            0.2      15.979076     0.20990611      14.136681     0.18062899      17.950984     0.26543574
            0.4      25.227241     0.24835487      22.496157     0.21883051      28.095688     0.30873122
            0.6      33.477684     0.28581994      30.107117     0.25395363      36.965548      0.3530003
            0.8      40.633011     0.31077111       36.61263     0.27791877       44.73874     0.38549343
              1      48.989851     0.34031202      44.397452     0.30523809      53.645702     0.42081429
            1.2      57.184893     0.36967945       51.94431     0.33503244      62.460246     0.45558411
            1.4      66.872147     0.40307316      60.929281     0.36448846      72.708399     0.49481909
            1.6      80.320597      0.4376392      73.492843     0.39643297      87.264538     0.54345277
            1.8      99.333419     0.49192152      91.110848     0.45160098      107.75726     0.60268995
              2      124.92442     0.55871658      115.47804     0.51654399      134.42846     0.68436882
            2.2      163.09667      0.6347276      151.73031     0.58563166      174.30248     0.78246375
            2.4      215.50349     0.73506009      201.92287     0.68210724      228.47003     0.90751473
            2.6      292.45891     0.86211289      275.24809     0.80315015      309.07929      1.0641343
            2.8      390.37924      1.0030054       369.1468     0.94873777      410.29743      1.2416326
              3      433.08117      1.0555617      409.36804     0.99523274       456.4622      1.3180146
            3.2      172.55071     0.67275086      161.08489     0.62047176      184.37946     0.83454237
            3.4      75.104231     0.44250872      68.787562     0.39862542      82.153284     0.55131249
            3.6      36.321595     0.30360186      32.696513     0.27177496      40.468056     0.37841644
            3.8      17.695285     0.20859742      15.652026     0.18108722      20.163013     0.26286428
              4      9.1460727      0.1460581      7.9085582     0.12486907      10.736714     0.18611221
            4.2      4.8778207     0.10735707       4.125446    0.090016894      5.8651545      0.1376098
            4.4     0.45851417    0.030964058     0.36397766    0.030836406      2.7865534    0.093133372
            4.6      1.0090381    0.046200216     0.72297844    0.034597495      1.4054103    0.065050951
            4.8    0.094907027    0.013227183    0.094907027    0.013227183     0.59168289    0.042952142
              5    0.094907027    0.013227183    0.094907027    0.013227183     0.59168289    0.042952142
