#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      43.274652     0.35734702      38.579647     0.31288693      48.276583     0.44419925
            0.2      42.650829      0.3337016      38.006716     0.29374325      47.570586      0.4147993
            0.4      44.830498     0.33224416      40.212912     0.29581756      49.699361     0.40934669
            0.6       46.94605     0.33741721      42.271088     0.30243215      51.895945     0.41807806
            0.8      50.788053      0.3520344      45.761493     0.31565738       55.85865     0.43165492
              1      56.521781     0.36717414      50.929788     0.32756495      62.442354     0.45359754
            1.2      64.232096     0.39907592      58.265545     0.36297836      70.239629     0.48742337
            1.4      75.822565     0.42954761      69.115768     0.39120959      82.610959     0.52490761
            1.6      91.680003     0.47124672      83.818403     0.42725012      99.758612     0.58247421
            1.8      114.22499     0.52970567      105.16653      0.4861775      123.39989     0.65233114
              2      147.78253     0.59917428      136.65079     0.55137935      159.15519     0.74310507
            2.2       195.3586     0.69700614      182.12911     0.64057454      208.36539     0.85748287
            2.4      262.24405       0.821032      245.87137     0.76808186      278.00734      1.0049191
            2.6       352.6266     0.94223666       331.8919     0.88278161      372.95539      1.1702647
            2.8      458.73773      1.0852954      433.51781      1.0357829      483.58468      1.3444539
              3      371.09581     0.98470122      350.20449      0.9213533       392.5691      1.2328576
            3.2      371.09581     0.98470122      350.20449      0.9213533       392.5691      1.2328576
