# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      116.52166     0.53497937      107.12579     0.48796173      126.03077     0.66245887
            0.2      114.65097     0.53207685      105.51078      0.4869682      123.96072     0.65920022
            0.4      113.64918     0.53028909      104.88858     0.48560511      122.35152     0.65494664
            0.6      113.26073     0.52917237      104.48683     0.48595775      121.68407     0.65050243
            0.8      113.22111     0.53405852      104.78084     0.49095753      121.54428     0.65812926
              1      114.98505     0.53883881      106.52093     0.49118068       123.5847     0.66574529
            1.2       119.1449     0.54269705      110.31992     0.49805458      128.15399     0.67511272
            1.4       124.3267     0.56049856      115.44802     0.51178073      133.18852     0.69344487
            1.6      132.53128     0.58064613      123.06045     0.53345628      141.97778     0.71660551
            1.8      143.06114     0.60415215      132.81768      0.5572071      153.39941     0.74550043
              2       158.4623     0.64416677      147.57002     0.59103928      169.26036     0.79325703
            2.2      176.60235     0.67748103      164.84648     0.62448969      188.85193     0.84523242
            2.4      201.90947     0.72374885      188.55356     0.67274036      215.99615     0.89784992
            2.6       228.8991      0.7866234      214.74049     0.73209964      242.99322     0.97414154
            2.8      256.19055     0.82670831      240.65106     0.77507684      272.05582      1.0313195
              3      191.44902     0.73699687      180.11968     0.68850541      202.71049     0.91115564
            3.2      191.44902     0.73699687      180.11968     0.68850541      202.71049     0.91115564
