#   R_yHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       20.37582     0.22399687      18.627524     0.20007855      22.146118     0.27847325
            0.2      57.974101     0.37719328      53.239848     0.33939287      62.868169     0.47339746
            0.4       86.01382     0.46364567      79.336061      0.4228249      92.244841     0.57362869
            0.6      105.21915      0.5080984      96.969467     0.46178813      113.43755     0.63194039
            0.8      116.81723     0.54019031      107.93359     0.49647989      125.51983     0.66456772
              1      122.21597     0.55496175      113.08698     0.50843398      131.24332     0.68616861
            1.2      126.90187     0.56066124       117.6722     0.51606706      136.25206     0.69344903
            1.4      131.38856     0.57380904      122.00358     0.52835861      140.78449     0.70958099
            1.6      137.05672     0.59031536      127.08856     0.54378876      147.11253      0.7292274
            1.8      146.09163     0.60998123      135.75937     0.56309454      156.73721     0.74928036
              2      158.09596     0.63442717      147.29733     0.58252085      168.76624     0.78562434
            2.2      173.62956     0.66838345      162.14879      0.6214068      185.22077     0.83087551
            2.4      193.35929     0.70948863      180.42297     0.65591451      206.36144     0.87943106
            2.6      218.44173     0.77403458      204.65166     0.72181809      231.95497     0.94547655
            2.8      246.03195     0.81070949      230.83024     0.76132975      261.25804      1.0064962
              3       240.8969     0.81467327      225.96763     0.75192232      256.18786      1.0194964
            3.2      79.984787     0.46092525      74.383805      0.4218695      85.778781     0.57271583
            3.4      30.946027     0.28215909      28.348229     0.25173724      33.733132     0.35359934
            3.6      13.601094     0.18504279      12.255486     0.16291649      15.154101     0.23222715
            3.8       5.734215     0.11848812       5.005258     0.10083122      6.5738928     0.15281301
              4      2.7788895    0.080657461      2.4053023      0.0684191      3.2599531     0.10333783
            4.2     0.89688404    0.045843695       0.700088    0.035473589      1.1954228    0.063881048
            4.4     0.23768116    0.025432687    0.048672953    0.011210291     0.47433094    0.041589406
            4.6     0.16223693    0.023891194    0.043269147    0.012374467     0.31126961    0.037408865
            4.8   0.0023924004   0.0091331954   0.0023924004   0.0091331954     0.26884794     0.04669921
              5   0.0023924004   0.0091331954   0.0023924004   0.0091331954     0.26884794     0.04669921
