#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.8458061    0.092090756      2.4471416     0.07651788      3.2664511     0.11642533
            0.2       9.392969     0.16697073      8.2479893     0.14234817       10.61243     0.21162907
            0.4      15.387788     0.19969394      13.553889     0.17187702      17.378409     0.25190379
            0.6      21.873812     0.23263184      19.476341     0.20503544      24.372136     0.28755159
            0.8      27.839964     0.25866211      24.894818     0.22764825      30.913783     0.32167117
              1      34.322823     0.28653827      30.931281     0.25581987      37.815541     0.35549435
            1.2      42.301152      0.3212128      38.238178     0.28936647      46.457233      0.3946903
            1.4      52.024458     0.35252041      47.190772     0.31636233      56.825159     0.43719677
            1.6      65.042135     0.39460375      59.309801     0.35724324      70.899128     0.48496786
            1.8      81.688914     0.44336439      74.935472     0.40479723      88.531448     0.54812214
              2      105.32976     0.51062538      97.264424     0.46632645      113.29401     0.62746035
            2.2      140.69608      0.5918455      130.82276     0.55073204      150.23054      0.7258639
            2.4      189.32799     0.69408559      177.07365     0.64509402      200.99019     0.85080654
            2.6      261.04579     0.81281411      245.47111     0.75943998      276.06143      1.0075935
            2.8      355.00731     0.95365845      335.78607     0.89290443      373.05628      1.1858761
              3      409.54491      1.0307387      387.76074     0.97823038      430.40184      1.2799749
            3.2      209.77228     0.74363194       196.7774     0.69143942      222.67933     0.91825685
            3.4      124.54249     0.56387751      115.64135     0.51719569      133.87056     0.70073448
            3.6      80.941186     0.45270427      74.340297     0.41033748      88.127274     0.56176401
            3.8      54.081342     0.36776182      49.344187     0.33024003      59.316254     0.45829156
              4       37.28758     0.30415405      33.822209     0.27055735      41.162932     0.38179157
            4.2       25.61493     0.25198364      23.151764     0.22213883      28.443987     0.31678216
            4.4      19.144024     0.21588244       17.07265     0.18850923      21.660191     0.27175653
            4.6      13.179441     0.17881067      11.657174     0.15539713      14.963081     0.22525105
            4.8      9.6270962     0.15037542      8.4937904     0.13005245      11.055078     0.19084048
              5      9.6270962     0.15037542      8.4937904     0.13005245      11.055078     0.19084048
