# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.174188    0.061263585      12.293626    0.057329482      13.962817    0.076015441
            0.2      38.015596     0.10517406      35.474129    0.098250429      40.192862     0.12889858
            0.4      58.415085      0.1294973      54.469426     0.13497874         61.807     0.16257543
            0.6      74.862612     0.15562689      70.002169     0.16268873      79.080593     0.18461388
            0.8      87.707919     0.16119586      82.038233      0.1640354      92.792101     0.19597521
              1      98.141957     0.17514304      91.911373     0.16331548      103.82933     0.21313341
            1.2      107.21311     0.17814221      100.38511     0.17669786      113.23885     0.22121164
            1.4      115.88018     0.18690844      108.86792     0.20005674      122.11773     0.22756542
            1.6      125.20561     0.19960322      117.67461     0.19842344      132.09627     0.25729211
            1.8      136.38171     0.23921199      128.32688     0.21664973      143.84416     0.33202494
              2       149.1094     0.21734376      140.51505     0.22504325       157.0335     0.26348687
            2.2      165.52298      0.2317898      156.24716     0.23165189      173.83269     0.28396498
            2.4      186.00037     0.25936646       175.6687     0.27965863      195.27216      0.3291964
            2.6      211.55911     0.30897917      200.43718     0.28487534      221.60859     0.37824905
            2.8       239.1894     0.32348256      226.96978     0.35450641      250.53224     0.42033668
              3      242.84864     0.29832761      230.34063     0.29083147      254.52039     0.37950908
            3.2      119.79709     0.23091795      112.82074     0.22717962      126.53021     0.29498798
            3.4      68.367698      0.1665228      64.010961     0.15490224      72.810012     0.19794883
            3.6      43.058511      0.1283079      40.119457     0.11526427      46.044896     0.15399518
            3.8      28.275657    0.096443875      26.351961      0.1365021       30.39219     0.11542599
              4       19.27952     0.12092104      17.775015    0.084588353      20.829884     0.17025639
            4.2      12.986546    0.067008579      11.924944    0.071033894      14.143178    0.078846826
            4.4      8.8413742    0.054894884      8.1310006    0.051332707      9.6321393    0.067439092
            4.6      6.1697653    0.044616177      5.6480845    0.041443854      6.7565028    0.054562007
            4.8      4.3511838    0.036935304      3.9884764    0.034855868      4.7695895    0.044855148
              5      4.3511838    0.036935304      3.9884764    0.034855868      4.7695895    0.044855148
