#  R_yHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       20.90716    0.071129797      20.515024    0.069923384      21.443577    0.072968135
            0.2       58.83807      0.1182148      57.776559     0.11613269      60.326343     0.12117745
            0.4      86.442602     0.14222754      84.875037     0.13970552      88.667685     0.14587235
            0.6      104.18534     0.15538173       102.2481     0.15255594      106.94171     0.15947034
            0.8      114.28192     0.16228669      112.07304     0.15921428      117.42831     0.16674332
              1      120.43595     0.16634138      118.00487     0.16305749      123.89769     0.17111562
            1.2      123.97215     0.16858873      121.35399     0.16510154      127.67901     0.17362659
            1.4      127.70475     0.17097478      124.88025     0.16726494       131.6831     0.17629081
            1.6      132.77737     0.17413095      129.69601     0.17016636      137.08846     0.17977908
            1.8      140.11598     0.17859516      136.71328     0.17437542      144.83462     0.18462549
              2      150.57105     0.18469876      146.74594     0.18010763      155.84338     0.19116309
            2.2      164.13412     0.19228505      159.79435     0.18731255      170.08939     0.19926636
            2.4      181.57494     0.20144843      176.59549       0.196054      188.37585     0.20900482
            2.6      203.82169     0.21238694      198.09059     0.20656626      211.66636     0.22057112
            2.8      226.71411     0.22286388      220.26955     0.21670051      235.66128     0.23166916
              3      220.92384     0.22053056      214.73319     0.21457164      229.76577     0.22959978
            3.2      75.444452     0.13374702      73.368745     0.13019979      78.337404      0.1388402
            3.4      29.623095    0.085311276      28.828589    0.083155385      30.710457    0.088405566
            3.6      13.337575     0.05803858      12.991114    0.056635981      13.805352    0.060011632
            3.8      6.2543117    0.040109297      6.0972187    0.039180321       6.467256    0.041423525
              4      2.9316621    0.027741543      2.8598995    0.027123763       3.028125    0.028602162
            4.2      1.4067753    0.019368476      1.3731561    0.018952114       1.452508    0.019955075
            4.4     0.64775262    0.013090555     0.63294765    0.012816852     0.66799472    0.013476192
            4.6     0.29096643   0.0089089891     0.28439452   0.0087251106     0.30008564   0.0091643833
            4.8     0.12763794   0.0059772461     0.12496471   0.0058662467     0.13146699   0.0061449419
              5     0.12763794   0.0059772461     0.12496471   0.0058662467     0.13146699   0.0061449419
