#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      115.27306     0.16340477      113.17493     0.16051063      118.25593     0.16759758
            0.2      113.62887     0.16220914      111.53229     0.15929912      116.61508     0.16643008
            0.4      112.40884     0.16124944      110.28857     0.15828182      115.43263     0.16555539
            0.6      111.35035     0.16046256      109.17524     0.15745066      114.44753       0.164918
            0.8      110.62744     0.15992226      108.38063     0.15674339      113.81235     0.16450911
              1      112.26958     0.16101006      109.88086     0.15766671      115.63509      0.1658168
            1.2      115.23653     0.16298003      112.67133     0.15945723      118.83958     0.16839009
            1.4      120.19873     0.16627235      117.39518     0.16247976        124.097     0.17164679
            1.6      127.71008     0.17108839      124.59649     0.16700809      132.00961     0.17683947
            1.8      137.71244     0.17724086      134.21791     0.17284266      142.51484     0.18341775
              2      150.40189     0.18472198      146.43304     0.17994491       155.8153     0.19137116
            2.2       167.8682     0.19436687      163.27905     0.18916429      174.09638     0.20158075
            2.4      188.55843     0.20513364      183.26097     0.19950861      195.75062     0.21296613
            2.6      212.32739      0.2165261      206.27141     0.21052732      220.60658     0.22497665
            2.8      235.99485     0.22712683      229.31069      0.2208933      245.38195     0.23618425
              3      175.99633     0.19898554      171.15326     0.19371569      183.08369     0.20701832
            3.2      175.99633     0.19898554      171.15326     0.19371569      183.08369     0.20701832
