#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       5.582383    0.036706046      5.4227822    0.035719284      5.7792247    0.038065693
            0.2      16.076128    0.062070528      15.539966    0.060192444      16.757132    0.064760926
            0.4      25.456406    0.077935962      24.522813     0.07522529      26.668688    0.081706499
            0.6      34.075399    0.090017929      32.750704    0.086762297      35.821487     0.09468587
            0.8      41.799697    0.099523695      40.175863    0.095907208      44.014463     0.10485709
              1      49.512299     0.10814602      47.661637     0.10437026      52.147374     0.11395983
            1.2      57.878582     0.11674325      55.794816      0.1126013      60.883148     0.12286225
            1.4      67.339953     0.12566809      64.969956     0.12132038      70.709566     0.13201363
            1.6      80.329005     0.13688001       77.62046     0.13232893       84.12414     0.14339845
            1.8      97.744208     0.15042778      94.623078     0.14573267      102.08023     0.15749683
              2       121.6224     0.16692319      117.99552     0.16203002        126.603     0.17379595
            2.2      156.33749      0.1877736       152.0267     0.18272072      162.24112     0.19490656
            2.4      205.52486     0.21283384      200.37904     0.20759731      212.60159     0.22017895
            2.6      274.43523     0.24197646      268.28825      0.2366631      282.95213     0.24947882
            2.8      361.29188     0.27185763      354.17096     0.26662901      371.29683     0.27934863
              3       400.6744     0.28371501      393.37437     0.27870227      410.90244     0.29088776
            3.2       163.5588     0.19280516      159.96629     0.18874577      168.30005     0.19828596
            3.4      73.064102     0.13210156      71.436289     0.12938796      75.176034     0.13581095
            3.6      35.754264    0.093716426      34.984151    0.091825594      36.744461     0.09620747
            3.8      18.237531    0.067808426      17.850096    0.066470128      18.731944    0.069561617
              4      9.7137103    0.050414412      9.5049571    0.049420253      9.9757908    0.051709367
            4.2      5.2378092    0.037831539      5.1218637    0.037062536      5.3838539    0.038842715
            4.4      2.8738103    0.028882193      2.8095298    0.028294314      2.9533324    0.029646896
            4.6      1.6056854    0.022397267      1.5670885    0.021929935      1.6539273    0.023063015
            4.8     0.90025214    0.017721706     0.87865136    0.017349897     0.92690539     0.01820933
              5     0.90025214    0.017721706     0.87865136    0.017349897     0.92690539     0.01820933
