#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       13.88923    0.058131457      13.639534    0.057119016      14.227749    0.059527377
            0.2        39.5948    0.097499243      38.884939     0.09580516      40.567596    0.099862515
            0.4      60.794838     0.12005324      59.687502     0.11791752      62.329289     0.12305854
            0.6      77.141676     0.13459413      75.698904     0.13218697      79.153384      0.1380915
            0.8      89.638799     0.14460474       87.91005     0.14187881      92.060226     0.14848517
              1      99.564914     0.15199301      97.571515      0.1490106      102.35951     0.15624151
            1.2       107.8117     0.15782945      105.56914     0.15460734      110.95298     0.16241642
            1.4      116.02254     0.16341335      113.50694     0.15993601      119.53388     0.16834741
            1.6      124.13125      0.1686792      121.31724     0.16492693      128.04103     0.17398222
            1.8      134.41501     0.17511998      131.21678     0.17107356      138.83448     0.18089592
              2      145.73256     0.18186816      142.11554     0.17744545      150.69584     0.18805657
            2.2      160.59628     0.19027299      156.43622      0.1854413      166.27876     0.19701201
            2.4       178.9711     0.20004172      174.15388     0.19478708      185.52259     0.20738376
            2.6      201.20623     0.21104482       195.6451     0.20534599      208.78446     0.21900787
            2.8      225.69183     0.22230257        219.355     0.21622804      234.43803     0.23092869
              3       227.6941     0.22335117      221.36859     0.21733709      236.68202     0.23217178
            3.2       112.8258     0.16168799       109.7774     0.15749424      117.16193     0.16822321
            3.4       64.52107      0.1238472      62.832974     0.12071029      66.935144      0.1284656
            3.6      40.982333    0.099463422      39.941172    0.097036421      42.493933     0.10312148
            3.8      27.213149    0.081490333      26.547831      0.0795709      28.198708    0.084416558
              4      18.211436    0.066901526      17.783041     0.06540649       18.86108    0.069275369
            4.2      12.502353    0.055667194      12.219303    0.054450972      12.939308    0.057596923
            4.4      8.6404749    0.046355934      8.4522695    0.045386886      8.9387553    0.047939253
            4.6      5.9471085    0.038563253      5.8217592    0.037777073      6.1506226    0.039861496
            4.8      4.2033706    0.032525662      4.1194507    0.031898857      4.3417966    0.033583387
              5      4.2033706    0.032525662      4.1194507    0.031898857      4.3417966    0.033583387
