# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0              0              0              0              0              0              0
            0.2              0              0              0              0              0              0
            0.4              0              0              0              0              0              0
            0.6              0              0              0              0              0              0
            0.8              0              0              0              0              0              0
              1              0              0              0              0              0              0
            1.2              0              0              0              0              0              0
            1.4              0              0              0              0              0              0
            1.6              0              0              0              0              0              0
            1.8              0              0              0              0              0              0
              2              0              0              0              0              0              0
            2.2              0              0              0              0              0              0
            2.4              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
              3      75.719514    0.043650789      53.964142    0.031575482      109.21115    0.062087123
            3.2      84.940481    0.046283565      60.585188    0.033521066      122.40119    0.065754175
            3.4      43.622346    0.035283062      31.106753    0.025426651      62.885571    0.050379074
            3.6      25.165788    0.027153986      17.926563    0.019517416      36.326747    0.038888313
            3.8      15.156779    0.021437898       10.78389    0.015385449      21.910705     0.03075824
              4      9.5219309    0.017056619      6.7661665    0.012220219      13.785866    0.024519832
            4.2      6.2473997    0.013758392        4.43554   0.0098374663      9.0543739    0.019824411
            4.4      4.2435964    0.011365317      3.0103383   0.0081125713      6.1563449    0.016407873
            4.6      2.9778304   0.0098457083      2.1112454   0.0070243083      4.3230547    0.014228817
            4.8      2.1495167    0.008007796      1.5232513   0.0057088094      3.1223357    0.011577702
              5      2.1495167    0.008007796      1.5232513   0.0057088094      3.1223357    0.011577702
