#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.675419    0.071795851      12.769062    0.074003981      14.458411    0.091405342
            0.2      39.223244     0.12189076      36.547268     0.10888155      41.508055      0.1754698
            0.4      60.231542       0.148535      56.313803     0.21251708      63.701365     0.19433713
            0.6      77.373996      0.1955136       72.20441     0.17259974      81.683364     0.28223037
            0.8      90.532696     0.20608221      84.580032      0.1710284      95.677745     0.32363658
              1      101.24843     0.20555655      94.574665     0.18672575      107.03703     0.27772319
            1.2      110.61665     0.25891005       103.5652     0.21379554      116.75697     0.39817205
            1.4      120.58058     0.22169175      112.55115     0.25039074      127.82494     0.30363451
            1.6      130.73715     0.28607889       122.2471     0.23312781      138.43656     0.42559307
            1.8      141.70662     0.27782025       132.6344     0.22058265      150.60339     0.35094964
              2      155.85037     0.27335273      145.76698     0.43063141      165.56878     0.39432853
            2.2      173.52273     0.38568656      162.58185     0.31872187      184.11629     0.57051887
            2.4      195.02292     0.44783549      182.80955     0.34098032      207.22626     0.61793742
            2.6      221.87039      0.4950504      207.82237     0.45196498      237.13742     0.67920261
            2.8       252.7447     0.43014557      237.11017     0.39538203      269.43218     0.62752846
              3      256.61748      0.4017732      240.64068     0.38703254       273.7024     0.58385479
            3.2      126.43295     0.33327172      118.09181     0.25443284      135.19515     0.41411945
            3.4      72.085752     0.25157905      67.205193     0.20606125      77.070168     0.39562798
            3.6      45.329222     0.13982045      42.002063     0.12410623      48.595496     0.22440001
            3.8      30.009001     0.11750756      27.684735      0.1038108      32.431323     0.16478637
              4      20.341813    0.099187928      18.767161    0.088072643      22.011382     0.14602257
            4.2      14.041248     0.09173829      12.874629     0.07921686      15.362556     0.13862954
            4.4      9.5458343     0.06959465      8.7416453    0.059546276      10.458206     0.10039308
            4.6      6.6607772    0.050215349      6.1000701    0.044951388      7.2720276    0.071130176
            4.8      4.5716678    0.041894284      4.1790818    0.037583392      5.0068956     0.05896246
              5      4.5716678    0.041894284      4.1790818    0.037583392      5.0068956     0.05896246
