#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      116.04531     0.22910662       107.9416      0.1946107      123.15214     0.32859365
            0.2       114.8023     0.25221828      106.98719     0.28478708      121.40859     0.31813251
            0.4      114.32553     0.23373606       106.3717     0.24752961         121.32      0.3392548
            0.6      113.66314     0.23505882      105.97474     0.20357613      120.50767     0.34578736
            0.8      114.48355     0.22225658      106.86106     0.21163729      121.54362     0.30847065
              1      116.49197     0.23363269      108.54457     0.20407373      123.47125     0.29047162
            1.2      120.57155     0.22602212      112.43131     0.20299239      128.15612     0.30221269
            1.4      126.68432     0.27184153      118.42816     0.23274968      134.15144     0.38057786
            1.6      135.77626     0.31410494      126.78173     0.23868753      144.99247      0.3600532
            1.8      147.53636     0.32616345      137.84532     0.26904985      156.91126     0.45723348
              2      163.18666     0.44896996      153.02464     0.38433701      173.38657      0.6636352
            2.2      183.43837     0.41986807      171.44356     0.48883517      195.77945     0.52269724
            2.4      208.89471     0.36198945      195.79711     0.33207703      222.36604     0.51881125
            2.6      237.70709     0.41547567      222.72169      0.3699222      253.57841        0.70254
            2.8      266.58313     0.48039373       250.2418      0.4225321      284.60365     0.70171812
              3      201.11263     0.34745949       188.7377     0.30351895      214.74943     0.50646306
            3.2      201.11263     0.34745949       188.7377     0.30351895      214.74943     0.50646306
