# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0          3.319    0.032750313      2.8493856    0.026518294      3.7210976    0.044501126
            0.2      9.8675286    0.068882718      8.4635557    0.050956463      11.105254     0.10677207
            0.4      15.574104    0.061144124      13.452082     0.05325427      17.356623    0.075099142
            0.6      21.020646    0.081248927      18.168253    0.066807622      23.428795     0.11101932
            0.8      26.131265     0.10522761      22.678674    0.081206309      29.031205     0.15850194
              1      30.797427     0.10831048      26.939781    0.093091828      33.892889     0.14949681
            1.2      35.950599     0.10232277      31.542864    0.087881326      39.503494     0.13341733
            1.4      41.631556     0.11743017      36.831443    0.099118305      45.275742     0.15633985
            1.6      48.688226     0.16638588      43.523838     0.14102213       52.59767     0.24132552
            1.8      57.431502     0.15676064      51.789107     0.12683028      61.256072     0.18974264
              2      70.504323     0.17663803      64.217229     0.14894045      74.684465     0.23869458
            2.2      89.832926     0.18189458      82.652105     0.16317174       94.30375     0.23389855
            2.4      121.47713     0.27814451      112.76635     0.22850978      126.69827     0.35951522
            2.6      178.50656     0.26365418      166.78992     0.24815713        185.089     0.28551653
            2.8      301.18396      0.4201706      283.91298     0.43264679       312.1622     0.50863704
              3      580.20611     0.73528973      550.09882     0.61662218      618.69113      1.0684702
            3.2      329.54504     0.44950159      313.09748     0.42983136       354.0081     0.61612354
            3.4      182.54417     0.35276738      173.13132     0.32907642      195.72755     0.52683466
            3.6      110.59304     0.29116919      104.03118     0.39237307      118.85837      0.5164638
            3.8      69.450992      0.3124519      65.783035     0.28966006      74.310497     0.46380832
              4      46.397369     0.15405093      43.651841     0.14214118      49.800723     0.21698845
            4.2      31.411932     0.20887795       29.53984     0.15201292      33.707618     0.34585505
            4.4      21.674301     0.10854882      20.384703     0.09404228      23.259699      0.1472814
            4.6      15.544972    0.096196494      14.554873    0.083117184      16.855624     0.14546128
            4.8      11.162537    0.083607054      10.427292    0.067967062      12.105605     0.13620415
              5      11.162537    0.083607054      10.427292    0.067967062      12.105605     0.13620415
