#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      45.799824     0.79266272      45.125872     0.66591231        45.8183     0.79294851
            0.2      43.760478     0.41202441      43.662428     0.39706245      46.250596      1.3388281
            0.4      45.736001     0.49118421      45.736001      0.4911842      47.695536      1.8854667
            0.6      47.471751     0.34625982      47.471396     0.34625855      47.636849          0.345
            0.8      51.384417     0.37900266      48.502416      2.3633375      51.688632     0.38237901
              1      57.123037     0.37361148      57.123024     0.37361143      57.724499     0.54366134
            1.2      64.874627     0.48846126       64.84989     0.49410434      64.951888     0.44889888
            1.4      76.226807     0.44064369      76.230414      0.4405943      76.632788     0.44300706
            1.6      92.322442     0.48275457      92.322441     0.48275457      92.736785     0.48830867
            1.8      114.49935      0.5730731      111.67372      3.0715274      114.78895       0.573786
              2      148.42852     0.61152487      148.42849      0.6115251      150.81789      2.0385303
            2.2      196.29678     0.85866296      195.99537     0.91625861      197.63302     0.86712184
            2.4      263.17474       0.931577      261.64103     0.93333046      267.07393      2.4600902
            2.6      353.60085     0.99467336      349.86699     0.99027662      358.81425      1.1459318
            2.8      459.93733      1.1373297      452.65331      1.1204102      468.62471      1.4657883
              3      371.86507      1.0105987      364.53968     0.99373835      381.41484      2.4976405
            3.2      371.86507      1.0105987      364.53968     0.99373835      381.41484      2.4976405
