# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      6.8482092    0.057246061      6.8482092    0.057246061      6.8482092    0.057246061
            0.2      19.925597    0.099927062      19.925597    0.099927062      19.925597    0.099927062
            0.4      30.420008     0.12214855      30.420008     0.12214855      30.420008     0.12214855
            0.6      38.223922     0.14774138      38.223922     0.14774138      38.223922     0.14774138
            0.8      43.206945     0.14705079      43.206945     0.14705079      43.206945     0.14705079
              1       47.10525     0.15306243       47.10525     0.15306243       47.10525     0.15306243
            1.2       50.95982     0.15964472       50.95982     0.15964472       50.95982     0.15964472
            1.4      55.515049     0.16761235      55.515049     0.16761235      55.515049     0.16761235
            1.6      62.286453     0.18165135      62.286453     0.18165135      62.286453     0.18165135
            1.8      72.360524     0.20003656      72.360524     0.20003656      72.360524     0.20003656
              2      88.455033     0.22196283      88.455033     0.22196283      88.455033     0.22196283
            2.2      113.76467     0.25208204      113.76467     0.25208204      113.76467     0.25208204
            2.4      155.85975     0.30508369      155.85975     0.30508369      155.85975     0.30508369
            2.6      233.09207     0.38078357      233.09207     0.38078357      233.09207     0.38078357
            2.8      395.43031     0.49671376      395.43031     0.49671376      395.43031     0.49671376
              3      690.83853     0.77793393      690.83853     0.77793393      690.83853     0.77793393
            3.2      160.65745     0.40482805      160.65745     0.40482805      160.65745     0.40482805
            3.4      32.361907      0.1932273      32.361907      0.1932273      32.361907      0.1932273
            3.6      7.8694096    0.083117808      7.8694096    0.083117808      7.8694096    0.083117808
            3.8      1.9830341    0.038936732      1.9830341    0.038936732      1.9830341    0.038936732
              4     0.50484314    0.025709022     0.50484314    0.025709022     0.50484314    0.025709022
            4.2     0.13947292    0.010234967     0.13947292    0.010234967     0.13947292    0.010234967
            4.4     0.04375523   0.0099635011     0.04375523   0.0099635011     0.04375523   0.0099635011
            4.6   0.0078359422   0.0027977388   0.0078359422   0.0027977388   0.0078359422   0.0027977388
            4.8  0.00049470008   0.0012570564  0.00049470008   0.0012570564  0.00049470008   0.0012570564
              5  0.00049470008   0.0012570564  0.00049470008   0.0012570564  0.00049470008   0.0012570564
