# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       112.4484     0.26638007       112.4484     0.26638007       112.4484     0.26638007
            0.2      111.68596     0.27609224      111.68596     0.27609224      111.68596     0.27609224
            0.4      110.61581     0.26929168      110.61581     0.26929168      110.61581     0.26929168
            0.6      109.37084     0.26885446      109.37084     0.26885446      109.37084     0.26885446
            0.8      109.91039       0.267889      109.91039       0.267889      109.91039       0.267889
              1      111.86601     0.28923462      111.86601     0.28923462      111.86601     0.28923462
            1.2      114.69507     0.27033069      114.69507     0.27033069      114.69507     0.27033069
            1.4      120.33033     0.27493115      120.33033     0.27493115      120.33033     0.27493115
            1.6      127.51671      0.3004125      127.51671      0.3004125      127.51671      0.3004125
            1.8      138.59687     0.35459511      138.59687     0.35459511      138.59687     0.35459511
              2      151.69344     0.31987135      151.69344     0.31987135      151.69344     0.31987135
            2.2      168.58853      0.3585578      168.58853      0.3585578      168.58853      0.3585578
            2.4      190.55384     0.38025155      190.55384     0.38025155      190.55384     0.38025155
            2.6      214.47647     0.41011128      214.47647     0.41011128      214.47647     0.41011128
            2.8      238.56812     0.40982054      238.56812     0.40982054      238.56812     0.40982054
              3      176.94581     0.41433303      176.94581     0.41433303      176.94581     0.41433303
            3.2      176.94581     0.41433303      176.94581     0.41433303      176.94581     0.41433303
