#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      40.159268     0.22457693      40.159268     0.22457693      40.159268     0.22457693
            0.2      39.923763     0.16577011      39.923763     0.16577011      39.923763     0.16577011
            0.4      41.426437     0.18916736      41.426437     0.18916736      41.426437     0.18916736
            0.6      43.744669     0.18138485      43.744669     0.18138485      43.744669     0.18138485
            0.8      47.736706     0.21289807      47.736706     0.21289807      47.736706     0.21289807
              1      53.200868     0.24744192      53.200868     0.24744192      53.200868     0.24744192
            1.2      60.440411     0.22669769      60.440411     0.22669769      60.440411     0.22669769
            1.4      71.085716     0.22766984      71.085716     0.22766984      71.085716     0.22766984
            1.6      85.884577     0.24468619      85.884577     0.24468619      85.884577     0.24468619
            1.8      108.03225     0.25959351      108.03225     0.25959351      108.03225     0.25959351
              2      139.02934     0.31077018      139.02934     0.31077018      139.02934     0.31077018
            2.2      184.79479     0.36575177      184.79479     0.36575177      184.79479     0.36575177
            2.4      249.85613     0.39559291      249.85613     0.39559291      249.85613     0.39559291
            2.6      339.17743     0.48784101      339.17743     0.48784101      339.17743     0.48784101
            2.8      442.37572     0.53862002      442.37572     0.53862002      442.37572     0.53862002
              3      360.99454     0.51264812      360.99454     0.51264812      360.99454     0.51264812
            3.2      360.99454     0.51264812      360.99454     0.51264812      360.99454     0.51264812
