# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      109.19528     0.14288172      99.019207     0.12961615      116.30392     0.15674596
            0.2      107.96156     0.14195181      97.897657      0.1288432      115.00431     0.15638227
            0.4      106.46028     0.14081725      96.515052     0.12766816      113.48368     0.15392336
            0.6      105.19759     0.13983008      95.398565      0.1269325      112.12315     0.15308142
            0.8      105.10354     0.13956302      95.338477     0.12666938      112.00566     0.15250122
              1      106.21453     0.14015212      96.388155     0.12786138      113.13671     0.15536693
            1.2      109.01225     0.14163979      98.961759     0.12870571      116.08467     0.15504321
            1.4      113.43477     0.14418983      103.06375     0.13142285      120.66662     0.15923571
            1.6      119.87923      0.1478209      108.91275     0.13439881      127.57739     0.16091735
            1.8        129.219     0.15318721       117.5178     0.13958423      137.32126     0.17024542
              2      141.63041     0.15994774      128.88728     0.14532446      150.40137     0.17578143
            2.2      157.29171      0.1675523      143.21767     0.15260693      166.92668     0.18232149
            2.4      177.32595     0.17709917       161.6553     0.16156934      187.84663     0.19469742
            2.6      200.71129     0.18730546      183.10717     0.17089804      212.36148       0.204286
            2.8       223.7039      0.2363914      204.36191     0.18299195      236.10504     0.38479861
              3      168.02211       0.173009      153.50636     0.15783951      177.27958     0.18849531
            3.2      168.02211       0.173009      153.50636     0.15783951      177.27958     0.18849531
