#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      39.257385     0.08455476      35.377852    0.076061802      42.504055    0.094078835
            0.2        39.9614    0.085135126      36.049717     0.07674835      43.186083    0.094362602
            0.4      41.199247    0.086480736      37.206693    0.078015866      44.440851    0.095616172
            0.6      43.411732     0.15827064      39.326865    0.087541147      46.574028     0.33408729
            0.8      47.076166    0.092452822      42.583393     0.08363129      50.632595     0.10144067
              1      51.984728    0.097247433      47.086132    0.088118747      55.792562     0.10682638
            1.2      59.164901      0.1037678       53.61202    0.094082087      63.437384     0.11372276
            1.4      69.390546     0.11239353      62.934397     0.10194971      74.269322     0.12292314
            1.6        83.2408     0.12337482      75.555724     0.11169349        88.9379     0.13741419
            1.8      103.54059       0.136798      94.036302     0.12437366      110.46981     0.14836669
              2      132.80246     0.15444962       120.7018     0.14061191       141.4265     0.16996049
            2.2      174.65088     0.17583553      158.83149     0.16004049      185.65045     0.19090887
            2.4       234.9544     0.20200909      213.88822     0.18440495       249.1212     0.22389443
            2.6      316.49879     0.23054405      288.34698     0.21009146      334.83338     0.25126717
            2.8      409.91988     0.25733424      373.90352     0.23489494      432.44441     0.28210165
              3      333.30952     0.23758761      304.30777     0.21695234      350.90762     0.26168725
            3.2      333.30952     0.23758761      304.30777     0.21695234      350.90762     0.26168725
