# massHiggs+top        central        num_err    min (scale)        num_err    max (scale)        num_err
# +tbar
            680       1.148576    0.004093941      1.0755023   0.0038464149      1.2248088   0.0050669226
            685      1.1408032   0.0039584917       1.066472   0.0039114763      1.2228736   0.0047903532
            690      1.1122513   0.0040442831      1.0401644   0.0038739626       1.188915    0.005134335
            695      1.0990674   0.0038107638      1.0255497   0.0037558558      1.1754783   0.0046860381
            700      1.0793441   0.0038353327      1.0096151   0.0036956749      1.1530904   0.0046023004
            705      1.0652203   0.0051950314     0.99212089   0.0042868123      1.1368602   0.0051870835
            710      1.0396156   0.0039949466      0.9705792    0.003726374      1.1122478   0.0049727677
            715      1.0235488    0.003778826     0.95634067   0.0036159643       1.093061   0.0044756223
            720     0.99842657   0.0037882046     0.93244862   0.0036938234      1.0684487   0.0046822831
            725     0.98986025   0.0043197145     0.92603498   0.0046848927      1.0561962   0.0046860394
            730     0.96176615   0.0039387555     0.89951486   0.0042974683      1.0266669   0.0045126718
            735      0.9378055   0.0059277721     0.87726308   0.0051079693     0.99602488   0.0088919621
            740     0.92279871   0.0035844981      0.8621619    0.003435271     0.98536989   0.0042491467
            745      0.9086362   0.0035468442     0.85047041   0.0035082899     0.97314518   0.0042281377
            750     0.88036872   0.0053462789     0.82125789   0.0042278931     0.94356582   0.0078041126
            755     0.86647639   0.0035952668      0.8098157   0.0035894891     0.92612923   0.0043747069
            760     0.85135523   0.0036506182        0.79507   0.0039825084     0.90899775   0.0045114409
            765     0.83964564   0.0033257591     0.78275357   0.0031764067     0.89952811   0.0041350687
            770     0.81138121    0.003262227     0.75632039   0.0030838367      0.8698073   0.0040058331
            775     0.79694314   0.0033343827     0.74705136   0.0040337402      0.8515693   0.0039489239
            780     0.77646033    0.004480029     0.72731735     0.00397115      0.8271999   0.0060144474
            785      0.7601137   0.0038984986     0.70659103   0.0033282761     0.81147353   0.0039556583
            790      0.7434389   0.0033075617     0.69332806   0.0030682113     0.79574053   0.0041107591
            795     0.73323974   0.0038963685     0.68118319   0.0033932635     0.78341239   0.0041378933
            800     0.71169975    0.003414561     0.66625569   0.0033518243     0.76222589   0.0042188732
            805      0.7000655   0.0073778009     0.63795332   0.0095364956     0.74800029    0.007070474
            810     0.67762402   0.0036977196      0.6330374   0.0034251852     0.72371882   0.0046551913
            815     0.66791785   0.0030820442     0.62232855   0.0030756609     0.71349205   0.0037024554
            820     0.65489987   0.0032630277      0.6115638   0.0034538893     0.69899143   0.0039294607
            825     0.63696469   0.0032138192     0.59452676   0.0032227836     0.68063254   0.0036440924
            830     0.62164127   0.0034775985     0.58176334    0.003521929     0.66475145   0.0038423372
            835     0.60564314   0.0056277136      0.5690662   0.0051365702     0.64446154   0.0088245888
            840     0.59085948   0.0027967685     0.54977132   0.0026993581     0.63354494   0.0034038696
            845     0.58126946   0.0030386164     0.54115077   0.0027825872     0.62286676   0.0037636445
            850     0.56440575   0.0058984807     0.52752808   0.0049412185     0.60362177   0.0068970038
            855     0.55554253   0.0029213262     0.52111723   0.0037731685     0.59338895   0.0037159724
            860       0.549144   0.0030179517     0.51053589   0.0027481052       0.590896   0.0036673147
            865     0.52936163   0.0039770642     0.49311603   0.0032923744     0.56679089   0.0055891354
            870     0.52211755    0.002749736     0.48666748   0.0025306466     0.55906401   0.0033728243
            875     0.51148784   0.0026610072      0.4753537   0.0025817056     0.55117074   0.0032091309
            880     0.49889545   0.0027744949     0.46473578   0.0027393163     0.53527733   0.0033853662
            885     0.48652667   0.0030242037     0.45455302    0.002828812     0.51924937    0.003822238
            890     0.47284111     0.00334677     0.44051245   0.0030303728     0.50656055   0.0043944729
            895     0.46785784   0.0026686353     0.43492587   0.0025625615      0.5027281   0.0031843568
            900     0.45908674   0.0039117835     0.42541116   0.0031974641     0.49174598   0.0032920789
            905     0.44944069   0.0034904593      0.4173176   0.0030993386     0.48467675   0.0047444735
            910     0.43347207   0.0039622858     0.40149919   0.0032168026     0.46583998   0.0055798796
            915     0.42549086    0.002450846     0.39443235   0.0025336475     0.45590198   0.0029928703
            920     0.42064193   0.0024936349     0.39066142   0.0024134287     0.45216121   0.0029435883
            925     0.40376992   0.0039938216     0.37538806    0.003095882     0.43484148   0.0060419523
            930     0.39873552   0.0024211513     0.37666444   0.0023727753      0.4270722    0.003108812
            935     0.38795428   0.0023703218     0.36003542   0.0022572022     0.41745217   0.0028580013
            940     0.37953545   0.0022938892     0.35137348   0.0021344998     0.40994347   0.0028278886
            945     0.37236846   0.0022837123     0.34653257   0.0022014773     0.39890884   0.0027542144
            950     0.36007906   0.0023886355     0.33404331   0.0021463864     0.38764696   0.0030502523
            955     0.35343863   0.0025800979      0.3285983    0.002265797     0.38031134   0.0032784835
            960     0.33685317   0.0061974185     0.31587023   0.0046594811     0.35658289   0.0097354295
            965     0.34343377   0.0025777884     0.31887319    0.002390537      0.3723623   0.0031099072
            970     0.33758267   0.0023980963     0.31289719   0.0023407722     0.36528784   0.0028085233
            975     0.33075586   0.0021775671     0.30688013   0.0020780677     0.35595183   0.0026308431
            980     0.31913736   0.0022087133      0.2960296   0.0021294012     0.34363025   0.0026226049
            985     0.31409655   0.0020843048      0.2896234   0.0018841479     0.34013821   0.0027400478
            990      0.3054215   0.0021086899     0.28280112   0.0020072253     0.32941967   0.0024748667
            995     0.30019648   0.0021227234     0.27714755   0.0018979389     0.32651652   0.0027411809
           1000     0.30019648   0.0021227234     0.27714755   0.0018979389     0.32651652   0.0027411809
