#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      49.544189     0.42211194      43.000077     0.28634383        57.7601     0.64415309
            0.2      47.120171     0.16702577      41.576233     0.15631444      53.782789     0.21884237
            0.4      48.166839     0.16155921       42.73627     0.14342689      54.547509     0.20385887
            0.6      50.804813     0.14122397      45.179937     0.13100679      57.516176     0.18397866
            0.8      54.794659     0.14929208      48.883809     0.14239168      61.608479     0.19201409
              1      60.368085      0.2705989      54.057656     0.26782771      67.939433     0.25707097
            1.2      68.792818     0.18981851      61.884142      0.1813753      76.861744     0.23325631
            1.4      80.902474       0.243722       72.70549     0.28408789      89.859147     0.25809592
            1.6       96.86033     0.31213402      88.052757     0.25246166      106.98337     0.42359077
            1.8      119.90055     0.28307066        109.734     0.24854854      131.47626     0.38834556
              2       153.4231     0.31541197      141.24757     0.27015276       166.8258      0.4318905
            2.2      201.72503     0.27235754      186.73422     0.28444157      217.87245     0.33862778
            2.4      268.12972     0.40893986      250.66295      0.3612151      286.75847     0.53715053
            2.6      358.09596     0.36194282      337.22752      0.3605249      379.77588     0.45101726
            2.8      458.44443     0.43524369       434.4157     0.46725365      482.97717     0.56784205
              3      369.25912     0.38246355        350.833     0.36535209      387.69892     0.48431532
            3.2      369.25912     0.38246355        350.833     0.36535209      387.69892     0.48431532
