# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.486475    0.063478846      12.507358    0.059128019      14.449741    0.077942805
            0.2      38.951804      0.1205956      36.105309     0.10661263      41.638888     0.15691253
            0.4      59.920851     0.13884139      55.486027     0.13968503      64.137167     0.17678335
            0.6      76.949239     0.16751548      71.407468     0.16979257      82.308887     0.20714946
            0.8       90.29577     0.18290007       83.77673     0.17731073      96.826419     0.22919681
              1      101.47823     0.18820883      94.156458      0.1716062      108.99305     0.22662472
            1.2       111.1759     0.19580193      103.03535     0.18882476      119.34789     0.23952196
            1.4      120.55717     0.20478741      112.01311      0.2131203      129.40541     0.25211136
            1.6       130.6645     0.25470279      121.34103     0.23061599      140.79704     0.38005395
            1.8      142.70419     0.28893491      132.57298     0.24568769      153.65693     0.41323634
              2      156.30762     0.31566573      145.33657     0.28628457      168.32503     0.39355367
            2.2      174.13208     0.36088967      162.04167     0.30687121      187.30127     0.49038802
            2.4      196.42663     0.43144295       182.2505     0.44792522      211.66293     0.50407661
            2.6      224.38556     0.35726823      209.02142     0.31926314      241.68176     0.44603565
            2.8      253.75635     0.41748562      236.74086     0.40500333      273.17979     0.57454623
              3      257.82809       0.369812      240.37967     0.33319257      278.06871     0.49204974
            3.2      126.72071     0.26411617      117.48981     0.25134024      137.40528     0.34115406
            3.4      71.853578     0.28390267      66.314886     0.22153165      78.313535     0.38344865
            3.6      45.119322     0.19950342      41.495616     0.15993185      49.305589     0.27201936
            3.8      29.620656     0.11749387      27.261121     0.15761429      32.521217     0.15582443
              4       20.05182    0.091059493      18.352276    0.089865674      22.031907     0.10532818
            4.2      13.534961    0.072620509      12.290471    0.075581502      15.007446    0.085879376
            4.4      9.1996224    0.059306403      8.3717868    0.054306836      10.202834     0.07586926
            4.6      6.4167176    0.047681116      5.8141554     0.04351973      7.1421822    0.058802137
            4.8      4.5184434    0.038990681      4.1014265    0.036419968      5.0288554     0.04756241
              5      4.5184434    0.038990681      4.1014265    0.036419968      5.0288554     0.04756241
