#   R_yHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      20.698311    0.077982367      19.201408    0.073595051      22.170031    0.096043287
            0.2      58.170076     0.14270326      53.935195     0.12802651      62.313839     0.18415698
            0.4      86.515874     0.17156716      80.267563     0.16816843      92.647904     0.21637448
            0.6      105.20487     0.18509467      97.603362     0.18755683      112.72812     0.22399697
            0.8      116.89616     0.21251454       108.4396     0.21293948      125.30135     0.26659533
              1      123.97488     0.26481832      115.04031     0.22493033      133.13597     0.38061426
            1.2      128.78743     0.21522033      119.47127     0.20766199      138.57269     0.25848281
            1.4      133.95328     0.22358016      124.31866     0.21324714      144.19936      0.2897793
            1.6      140.69584     0.26157034      130.47545     0.23178824      151.93888     0.38208458
            1.8      149.93789     0.24285788      139.20477     0.22897932      161.65264     0.30649054
              2      162.16108     0.32218334      150.44207     0.28093986       174.8691     0.40396291
            2.2      178.63318     0.34246364       166.1516      0.3031571      192.64644     0.46334204
            2.4      200.75119     0.45033897      186.37006     0.46219124      216.38466     0.53641549
            2.6      228.00281     0.37832008      212.14358     0.33666858       245.8541     0.47648634
            2.8      256.40049     0.41051732      239.05338     0.40129822      276.44274     0.56114999
              3      251.17039     0.39499152      233.99803     0.34504193      271.27759     0.53635038
            3.2      84.529027     0.22965909      78.337665     0.21494604      91.721229     0.30441676
            3.4      32.765483      0.2416841      30.117937      0.2150417      35.981804     0.32448443
            3.6      14.669108    0.089215094      13.291088    0.077117377      16.301378     0.11496321
            3.8      6.6415305    0.051239774      5.9683852    0.046271842      7.4844489    0.062795801
              4      3.1116944    0.037906301      2.7639632    0.035590821      3.5426715    0.045670098
            4.2      1.4519777    0.022162397      1.2863873    0.022061887      1.6596308    0.027872268
            4.4      0.6554909    0.013746348     0.56897094      0.0118688     0.76795015    0.017746231
            4.6     0.29956501    0.010317191     0.26324364   0.0094277046     0.34488797    0.011995114
            4.8     0.14656251   0.0092586411     0.12578582   0.0094772941     0.17477084   0.0096155286
              5     0.14656251   0.0092586411     0.12578582   0.0094772941     0.17477084   0.0096155286
