#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.389268    0.090637453      12.427815    0.089991956      14.233314     0.11169718
            0.2       38.49727     0.16098736      35.791986     0.14274639      40.844925     0.19373723
            0.4      58.757532     0.19222771      54.931089     0.36743904      62.324563     0.23283226
            0.6      75.601034     0.22267057      70.720182     0.24661134      80.015666     0.26663116
            0.8      88.332428     0.23237001       82.58104     0.21976836      93.460955     0.28649764
              1      98.844556     0.26363175      92.437753     0.27821462      104.58183     0.30619143
            1.2      107.73884      0.2636427      101.14348     0.30674923       113.6304     0.31722403
            1.4      116.43736      0.2737685        109.151     0.28301592      123.13496      0.3390205
            1.6      126.35509     0.28884493      118.67167     0.29419325      133.48271     0.34768968
            1.8       135.9177     0.29434102      127.88779     0.29842638      143.15762     0.35983601
              2      149.16121     0.34705623      140.20259     0.30639087      156.59977     0.37803653
            2.2      165.52667     0.33696806      156.20131     0.32043237       173.9869     0.40046245
            2.4       185.6616     0.35514928      175.42484     0.34704355      195.05982     0.43495015
            2.6      210.46253     0.38343635      199.40807     0.39615886      220.57822     0.45443665
            2.8      238.53656     0.41686208      226.15731      0.4237039      249.97815     0.50052886
              3      241.34843     0.40563557      229.13773     0.43359282      252.44522     0.51911792
            3.2      118.68933     0.30856859      111.99897     0.27869724        124.964     0.35856727
            3.4       67.91695     0.22692378      63.900862     0.23889509      71.679357     0.26129463
            3.6      42.670011     0.17703527      39.806031     0.20117104      45.394129     0.20731872
            3.8      28.073859     0.13942148      26.086317     0.13279767      30.131283      0.1680016
              4      18.965968     0.11441464      17.581096     0.11488935      20.449129      0.1366524
            4.2      12.989669    0.095161307      12.032841     0.09709127       14.02385     0.11221683
            4.4      8.8359188    0.075899532      8.1218341    0.070730973      9.6217175    0.092302581
            4.6      6.1798108    0.068278209      5.7008221    0.067547203      6.6795601    0.078983213
            4.8      4.2412602      0.0531068      3.8618477    0.051667043      4.6091055    0.063935339
              5      4.2412602      0.0531068      3.8618477    0.051667043      4.6091055    0.063935339
