#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       43.16375     0.21775961      38.722911     0.18941482      47.760117     0.25272476
            0.2      42.844523     0.17004713      38.511251     0.18899839      47.308818     0.20191799
            0.4       44.53805     0.19461617      40.291895     0.19501187      48.840287     0.20463698
            0.6      47.021996     0.17435239      42.528607     0.16927174      51.643647     0.20748378
            0.8      51.258775     0.18809942      46.502359     0.19202784      56.082096      0.2171866
              1      56.803122     0.20179506      51.698266     0.18135558      62.031383     0.23951971
            1.2      64.606631     0.20811888      59.024529      0.1980119      70.315531     0.24359252
            1.4      75.557219     0.21872284      69.339522     0.21850666       81.88364      0.2615655
            1.6      91.146563     0.24114009      84.112873     0.22843172      98.202029     0.28705433
            1.8      113.64905     0.27058667       105.5658     0.26310708      121.74479     0.34783671
              2      145.53914     0.31751929      136.02542     0.33105141      154.72775     0.36751325
            2.2      191.88236     0.38005072      180.07267     0.35093792      202.24305     0.42714661
            2.4      256.71765     0.40507936      242.91058     0.41539906      268.61667     0.49032624
            2.6      344.41013     0.47207911      328.03349     0.48162324      358.42682      0.5769206
            2.8      442.79714      0.5396805      424.22442      0.6610553      457.81283     0.66371423
              3      356.97585     0.48975926      342.75386     0.49999141      368.11967     0.60669941
            3.2      356.97585     0.48975926      342.75386     0.49999141      368.11967     0.60669941
