# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      6.8200518     0.05690371      5.8725471    0.050616588      7.7507633    0.068156549
            0.2      19.833183    0.098934301      17.133672    0.090973466      22.453234     0.11493936
            0.4      30.289677     0.12135901      26.186662     0.10916262      34.319596     0.14167148
            0.6       38.05022     0.14646797      33.038248     0.15133701       42.89449     0.15949236
            0.8      42.977423     0.14525566      37.363729     0.13112193      48.488189     0.16920241
              1      46.848483     0.15196342      40.933222     0.13811626      52.608105     0.17752152
            1.2      50.655744     0.15833829      44.506467     0.14464216        56.6084     0.18401205
            1.4       55.14142      0.1659999      48.719271     0.15258466      61.290709     0.19342107
            1.6      61.833863     0.18020269      55.088858     0.16667214      68.103552     0.21042356
            1.8      71.787653     0.19869742      64.509381     0.18902861      78.317931     0.22244929
              2       87.65776     0.21943873      79.814673     0.21828309      94.367987     0.24935569
            2.2      112.72233     0.24908057      103.76994     0.24291339      119.75162     0.28405808
            2.4      154.59225       0.301877      144.18843     0.28903362      161.96457     0.34819502
            2.6      232.42101     0.37950042      219.35811     0.36920657      241.10505     0.42583872
            2.8      400.46443     0.50069583      383.09782     0.50701986      411.30027     0.56545562
              3      737.38135     0.73983461      715.37287     0.86004252      765.83668     0.93450563
            3.2      173.38858     0.41245679      167.16834     0.38715884      182.44818     0.48273178
            3.4      34.785913     0.17082282      33.456249     0.17003928      36.838626     0.21244745
            3.6      8.4005853     0.08871377      8.0044482      0.1033715      8.8871849     0.10382556
            3.8      2.0924593    0.041723284      1.9977775    0.041202669      2.2011413    0.051649873
              4     0.56749891    0.032871155     0.54707424    0.047576844     0.59849518    0.029762155
            4.2     0.14209922    0.010286987      0.1334469   0.0090670772     0.14814117     0.01267443
            4.4    0.047553886    0.013017552    0.047209223    0.011860673    0.047937081    0.010158339
            4.6   0.0075728119   0.0025937495   0.0067527185   0.0019717322   0.0096336079   0.0044139909
            4.8  0.00052798615   0.0012499444   -0.001295072   0.0021478218   0.0012500845  0.00097012759
              5  0.00052798615   0.0012499444   -0.001295072   0.0021478218   0.0012500845  0.00097012759
