#    dyHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.14718254      0.0110636     0.12770085    0.010855314     0.17318181    0.012405757
           -3.8     0.29056632    0.012748914     0.25407046    0.011293794     0.33300597    0.015749745
           -3.6     0.51492093    0.018824653       0.453123    0.017106389     0.58758668     0.02192274
           -3.4     0.87553347    0.024580061     0.78666206    0.023250909     0.97134127    0.028604761
           -3.2      1.5286578    0.035237999      1.3689234    0.033360062      1.7084575    0.039661927
             -3      2.3699955    0.041375734      2.1274395    0.040081694      2.6389127    0.048001597
           -2.8      3.8884371    0.057026397       3.529001    0.054847423      4.2961936    0.065555859
           -2.6       6.183196    0.071910132       5.669816    0.078470732       6.829067     0.11289006
           -2.4      9.4710324    0.077588438       8.668908    0.072026512      10.318525    0.094289453
           -2.2      14.156458    0.097250458      13.080528    0.094231797      15.224874     0.11575204
             -2      21.319513     0.13393078       19.81477     0.13890799      22.783085      0.1444241
           -1.8      31.412041     0.14545061      29.331618     0.14028031      33.370751     0.17409777
           -1.6      44.872719     0.17493024      41.947104     0.19492984      47.564283     0.20956263
           -1.4      63.065976     0.21002993      59.233663     0.20767891      66.579909     0.24877282
           -1.2      86.792773     0.24224018      81.839629     0.24224215      91.310288     0.29066779
             -1      116.54547     0.28021487       109.9513     0.30057513      122.47703     0.33806059
           -0.8      150.22913     0.31650862      141.52403     0.30633742      158.20559      0.3874167
           -0.6       185.2348     0.34865355      174.80202     0.34079292      194.87365     0.42903497
           -0.4      213.80459     0.37885997      201.73399     0.37363401      224.74319     0.46258797
           -0.2      231.67728     0.39466146      218.47983     0.41859398      243.28539     0.48062977
              0      231.19505     0.38994224      218.61001     0.49913128      243.03212     0.47276801
            0.2      214.11356     0.36988161      201.83004     0.35812491      225.29536     0.46173765
            0.4      184.91951     0.36805226      174.77003     0.39969184       193.8374     0.42480897
            0.6      150.71017     0.32937755      142.45241     0.38605046      158.17818     0.38804821
            0.8      116.79202     0.28285778      110.05386     0.27610911      122.76451     0.34029144
              1      87.205547     0.25739099      82.145638     0.24437902      91.697601     0.29199285
            1.2      62.919687     0.23316072      58.974301     0.19836581      66.491172     0.27985595
            1.4      44.544026     0.17542243      41.798014     0.17625298      47.001566     0.20772028
            1.6      30.969869     0.14428081      28.926959     0.13643955      33.008354     0.17625689
            1.8      21.447967     0.15118549      19.846294     0.12194029      22.816758     0.14595522
              2      14.446441     0.12187809      13.254771    0.092173304      15.507386     0.11771013
            2.2      9.4362192    0.081181972      8.6482191     0.07773346      10.262525    0.095341395
            2.4      6.0544895    0.069027291      5.5488596    0.065111915       6.629592    0.078306511
            2.6       3.867873    0.053595539      3.4882795    0.056271553      4.2600311    0.062253753
            2.8      2.3324377    0.037818412      2.0708247     0.03473853      2.6178841    0.046170905
              3      1.4341864    0.030354417      1.2713166     0.02797987       1.617723    0.036214589
            3.2     0.86335445    0.022940013     0.78972106    0.027600571     0.98498893    0.028420276
            3.4     0.49748239    0.016978716     0.43557913    0.015156251     0.56854884    0.021818636
            3.6     0.29058226    0.013327494     0.25061851    0.012274482     0.33823629    0.016066164
            3.8     0.14765026    0.010588129     0.13421341    0.009751515     0.16870579    0.011753884
              4     0.14765026    0.010588129     0.13421341    0.009751515     0.16870579    0.011753884
